Brand Name,Item Name,Calories needed to have 50g of added sugar
Sanpellegrino,"Sparkling Drinks, Italian, Aranciata Rossa",271
Sanpellegrino,"Sparkling Drinks, Italian, Pompelmo",250
Schweppes,"Ginger Ale, Caffeine Free",182
Schweppes,Raspberry Ginger Ale,184
Schweppes,Ginger Ale,182
Schweppes,Tonic Water,197
Schweppes,Dry Grape Ginger Ale,184
Schweppes,Cranberry Raspberry Ginger Ale,194
Schweppes,"Tonic Water, Caffeine Free, Tonic Water",197
Schweppes,Premium Ginger Ale,196
Seagrams,"Ginger Ale, Fridge Pack",197
Seagrams,Ginger Ale,191
Shasta,Ginge Ale,206
Shasta,"Cola, Root Beer, Draft Style",205
Shasta,"Soda, Lemon Lime, Twist",200
Shasta,"Soda, Caffeine Free, Raspberry Creme",206
Shasta,Ginger Ale,200
Shasta,"Cola, Cherry",194
Shasta,"Soda, Caffeine Free, + Vitamin C, Orange",197
Shasta,Cola,203
Shasta,"Soda, Caffeine Free, Apple",207
Shasta,"Soda, Caffeine Free, + Vitamin C, Lemon Lime",207
Sierra Mist,"Soda, Lemon Lime",192
Sierra Mist,Caffeine Free Lemon Lime Flavored Soda,196
Sierra Mist,"Soda, Lemon Lime Flavored, Caffeine Free",189
Sierra Mist,"Soda, Lemon Lime Flavored",189
Simply,"Lemonade, All Natural",204
Simply,Lemonade,204
Simply,"Lemonade, with Raspberry",220
Simply,"Lemonade, with Strawberry",220
Simply,Limeade,214
Simply,Strawberry Juice Drink,208
Simply,"Juice Drink, Pineapple",250
Simply,"Juice Drink, Peach, All Natural",238
Simply,"Cocktail, Cranberry",232
Simply,"Juice Drink, Fruit Punch",227
Simply,Not from Concentrate Lemonade,204
Simply,Peach Juice Drink,238
Simply Lemonade,Raspberry Lemonade,220
Simply Lemonade,All Natural Lemon Juice,204
Simply Lemonade,Lemonade with Strawberry Juice Blend,220
Simply Lemonade,Lemonade with Stawrberry,220
Simply Lemonade,Lemonade with Raspberry,220
Simply Spiked,Passion Fruit Limeade,500
Simply Spiked,Signature Limeade,500
Simply Spiked,Raspberry Lemonade,500
Simply Spiked,Mango Peach Juice Can,500
Simply Spiked,"Beer, Strawberry Lemonade",500
Simply Spiked,Blackberry Limeade Real Fruit Juice,500
Simply Spiked,Peach Variety Pack,500
Simply Spiked,Signature peach,500
Snapple,"Juice Drink, Kiwi Strawberry",214
Snapple,"Juice Drink, Snapple Apple",238
Snapple,"Juice Drink, Mango Madness",250
Snapple,"Juice Drink, Fruit Punch",238
Snapple,All Natural Peach Tea & Lemonade,208
Snapple,Peach Tea,196
Snapple,Lemonade Iced Tea,210
Snapple,"Tea, Lemon",204
Snapple,Fruit Punch Juice Drink,238
Snapple,Snapple Apple Juice Drink,238
Snapple,Snapple Apple,238
Snapple,"Juice Drink, Starfruit, Orange & Nectarine, Sun",262
Snapple,"Tea, Peach Tea & Lemonade",208
Snapple,"Fruit Juice, Strawberry Pineapple Lemonade",219
Snapple,Kiwi Strawberry Flavored Juice Drink,214
Snapple,Apple Juice Drink,238
SoBe,Pina Colada Liz Blizz,202
SoBe,Morning Patrol Strawberry Banana Drink,202
Sprecher,Cream Craft Soda,250
Sprecher,Orange Dream Craft Soda,202
Sprecher,Strawberry Charged Lemonade Carbonated Sparkling Drink,200
Sprecher,"Fire-Brewed Craft Soda, Root Beer",255
Sprecher,Cherry Cola Craft Soda,227
Sprecher,Door County Cherry Soda Fire-Brewed Craft Soda,216
Sprecher,Fire Brewed Watermelon Soda,200
Sprecher,"Soda, Grape",222
Sprecher,Cream Soda Fire-Brewed Craft Soda,250
Sprecher,Wisconsin Maple Root Beer,227
Sprite,Soda,184
Sprite,"Soda, Lemon-Lime, 6 PK",189
Sprite,"Soda, Cherry Lime, Chill",188
Sprite,"Soda, Lemon-Lime",184
Sprite,Lemon Lime Soda,194
Sprite,Lemon-Lime and Tea Flavored Soda,189
Sprite,Lemon-Lime Soda,184
Sprite,Tropical Mix Lemon-Lime & Tropical Flavored Soda,190
Sprite,"Soda, Cherry",185
Sprite,"Soda, +Tea",189
Sprite,Vanilla Frost Lemon-Lime Flavored Soda,182
Sprite,"Soda, Chill, Cherry Lime",184
Sprite,Winter Spiced Cranberry Lemon-Lime Flavored Soda,182
Sprite,"Soda, Lemonade, Legacy",190
Sprite,"Soda, Ginger",191
Sprite,Lemon Lime Carbonated Drink,183
Squirt,"Thirst Quencher, Caffeine Free, Grapefruit",190
Squirt,Grapefruit Soda Thirst Quencher,194
Squirt,"Soda, Ruby Red, Thirst Quencher",189
Squirt,"Caffeine Free Thirst Quencher, Grapefruit",190
Squirt,"Soda, Grapefruit, Thirst Quencher",184
Squirt,"Soda, Grape",187
Starbucks,Frappuccino Chilled Coffee Drink,422
Starbucks,Vanilla Latte Iced Espresso,475
Starbucks,Chilled Pumpkin Spice Latte Espresso Beverage,523
Starbucks,Vanilla Coffee Drink,476
Starbucks,Pink Drink Strawberry Acai Coconutmilk Beverage,300
Starbucks,"Coffee Drink, Salted Caramel Cream, Premium Cold Brew",400
StarKist,"Soda, Strawberry Orange",191
Starry,Caffeine Free Lemon Lime Flavored Soda,192
Starry,Lemon Lime Flavored Soda,185
Starry,Caffeine Free Lemon Lime Soda,192
Starry,"Soda, Caffeine Free, Lemon Lime Flavored",192
Starry,"Soda, Lemon Lime",192
Starry,"Soda, Lemon Lime Flavored",192
Starry,Lemon Lime,192
Starry,"Caffeine Free Soda, Lemon Lime",192
Stewart's,Root Beer,197
Stewart's,Chocolate Caramel Tornado Ice Cream,658
Stewart's,Black Cherry Wishniak Soda,205
Stewart's,Cream Soda,198
Stewart's,Premium Eggnog,639
Stewart's,Peanut Butter Cookie Ice Cream,652
Stewart's,"Fountain Classics, Cream Soda",198
Stewart's,"Ice Cream, Cotton Candy",688
Stewart's,"Soda, Orange and Cream",200
Stewart's,"Wishniak Soda, Black Cherry",205
Stewart's,"Super Rich Ice Cream, Raspberry Cheesecake",643
Stewart's,"Refresher, Cranberry Apple",268
Stubborn Soda,"Soda, Agave Vanilla Cream",197
Stubborn Soda,"Soda, Classic Root Beer",192
Summit,Naturally Flavored Soda,198
Summit,Cola,205
Summit,Citrus Twist Lemon Lime Soda,189
Summit,Organic Mocktail Spritz Non-Alcoholic Flavored Sparkling Beverage,208
Summit,"Cola, Naturally Flavored Soda",205
Summit,Red Thunder Berry Energy Drink,216
Summit,"Energy Drink, Red Thunder",213
Summit,Citrus Twist Soda,189
Sun Drop,Cherry Lemon Citrus Soda,190
Sun Drop,Citrus Soda,189
Sun Drop,"Soda, Citrus",189
Sunkist,"Carbonated Water, Orange",191
Sunkist,Strawberry Orange Soda,183
Sunkist,"Lemonade Soda, Berry Lemonade",198
Sunkist,Orange Soda,183
Sunkist,Strawberry Soda,189
Sunkist,"Soda, Raspberry Blood Orange",191
Sunkist,Watermelon Lemonade Soda,186
Sunkist,"Soda, Watermelon Lemonade",188
Sunkist,"Soda, Grape",189
Sunkist,Strawberry Lemonade Soda,186
Sunkist,Pink Lemonade,206
Sunkist,Berry Lemonade,198
Sunkist,Grape Soda,187
Sunny D,"Citrus Punch, Orange",265
Sunny D,"Drink, Blue Raspberry",222
Sunny D,"Citrus Punch, Tangy Original",265
Sunny D,Frozen Tangy Original Drink,526
Sunny D,"Drink, Rocket Pop",235
Sunny D,"Citrus Punch, Smooth Orange",235
Sunny D,"Orange Flavored Citrus Punch, Tangy Original",265
Tazo,Classic Chai Latte Black Tea Concentrate,229
Tazo,"Black Tea Concentrate, Pumpkin Spice Latte",200
Tazo,Espresso Chai Latte Black Tea Concentrate,250
Tazo,Organic Chai Latte Black Tea,196
Tazo,Decaf Chai Latte Black Tea Concentrate,196
Tazo,"Green Tea Concentrate, Matcha Latte",217
Tazo,Strawberry Matcha Latte Green Tea Concentrate,214
Tazo,Chocolate Chai Latte Black Tea Concentrate,225
Tazo,Iced Peach Mango Herbal Tea Concentrate,231
Tazo,Green Tea Matcha Latte,217
Tazo,"Black Tea Chai Latte, Vanilla Caramel",250
Tazo,Black Tea Classic Chai Latte,344
Tazo,Lemon Ginger Tea,220
Topo Chico,Margarita Flavored Alcohol Beverage,528
Topo Chico,Prickly Pear Margarita,528
Tropicana,Pineapple Mango Juice Drink Blend,227
Tropicana,Classic Lemonade,214
Tropicana,Strawberry Peach Juice Drink Blend,250
Tropicana,Tropical Punch Juice Drink Blend,250
Tropicana,"Juice Drink Blend, Tropical Punch",240
Tropicana,"Juice Drink Blend, Pineapple Mango",233
Tropicana,"Juice Beverage, Cranberry",232
Tropicana,Strawberry Lemonade,220
Tropicana,Peach Pineapple Juice Drink Blend,235
Tropicana,"Lemonade, Classic",224
Twister,Fruit Punch,229
Twister,"Flavored Drink, Tropical Punch",250
Twister,Fruit Punch Flavored Drink,219
Twister,"Flavored Drink, Peach Orchard Punch",238
Twister,Tropical Punch Flavored Drink,250
Twister,"Flavored Drink, Orangeade",217
Twister,Berry Punch Flavored Drink,226
Twister,Peach Orchard Punch Flavored Drink,224
Twister,"Flavored Drink, Watermelon",227
Twister,"Flavored Drink, Grape Punch",227
V8,"Juice Beverage, Tropical Blend",235
V8,"Juice Beverage, Berry Blend",222
V8,"Juice Beverage, Strawberry Kiwi",235
V8,"Juice Beverage, Fruit Medley",222
V8,Tropical Blend Juice Beverage,233
V8,"Beverage, Mango Peach",235
V8,Fruit Medley,255
V8,"Splash, Berry Blend",259
Vernors,Black Cherry Ginger Soda,197
Vernors,Ginger Soda,188
Vernors,Boston Cooler Soda,197
Vernors,The Original Ginger Soda,184
Vernors,"Ginger Soda, Black Cherry",197
Virgil's,Root Beer,202
Virgil's,Naturally Bold Root Beer,202
Virgil's,Handcrafted Vanilla Cream,202
Virgil's,Cane Sugar Black Cherry Soda,202
Virgil's,Handcrafted Black Cherry Sparkling Filtered Water,202
Virgil's,Orange Cream,200
Virgil's,Cane Sugar Cola,202
Virgil's,Handcrafted Root Beer,202
Virgil's,Vanilla Cream Soda,202
Vitamin Water,Energy Tropical Citrus Water Beverage,185
Vitamin Water,"Nutrient Enhanced Water Beverage, Power-C, Dragon Fruit",196
Vitamin Water,"Nutrient Enhanced Water Beverage, Focus, Kiwi-Strawberry",192
Vitamin Water,"Nutrient Enhanced Water Beverage, Elevate, Blue Raspberry Limeade",192
Vitamin Water,"Nutrient Enhanced Water Beverage, Focus, Kiwi Strawberry",182
Vitamin Water,"Nutrient Enhanced Water Beverage, Essential, Orange-Orange",185
Vitamin Water,"Nutrient Enhanced Water Beverage, XXX, Acai Blueberry Pomegranate",188
Vitamin Water,"Nutrient Enhanced Water Beverage, Power-C, Dragonfruit",188
Vitamin Water,"Nutrient Enhanced Water Beverage, Energy, Tropical Citrus",188
Vitamin Water,Tropical Citrus Energy Drink,188
Vitamin Water,Acai-Blueberry-Pomegranate XXX Vitamin Water,192
Vitamin Water,Acai-Blueberry-Pomegranate Flavored Nutrient Enhanced Water Beverage,192
Warheads,Sour Lemon Soda,214
Warheads,Sour Black Cherry Soda,214
Warheads,Sour Grape Soda,214
Warheads,"Squeeze Candy, Sour Watermelon",313
Warheads,Sour! Watermelon Soda,214
Warheads,"Sour!, Blue Raspberry Soda",214
Warheads,Sour Green Apple Soda,214
Warheads,Super Sour Double Drops,300
Warheads,Ooze Chewz Ropes,363
Warheads,Peach Soda,214
WBC,Blue Raspberry Craft Sodas,192
WBC,Maraschino Cherry Cola Craft Sodas,200
WBC,Chicago Style Root Beer,203
Wild Bill's,Outlaw Orange Cream Old Fashioned Soda Pop,202
Wild Bill's,Root Beer,198
Wild Bill's,Strawberry Cream Craft Beverage,193
Wild Bill's,Blazing Black Cherry With Pure Cane Sugar,200
Wild Bill's,Original Cola,198
Wild Bill's,Rocket Pop Premium Small Batch Soda,198
Wild Bill's,"Craft Soda, Watermelon",193
Yerba Mate,Watermelody Organic Yerba Mate,222
