Brand Name,Item Name,Calories needed to have 50g of added sugar
Body Armor,Fruit Punch SuperDrink,237
Body Armor,Orange Mango Flavored SuperDrink,231
Body Armor,"Superior Hydration Super Drink, Orange Mango",237
Body Armor,Fruit Punch Super Hydration,227
Body Armor,Strawberry Kiwi Flash I.V. Rapid Rehydration Electrolyte Beverage,267
Bolthouse Farms,Chocolate Protein Shake,541
Bolthouse Farms,Banana Honey Protein Shake with Almond Butter,690
Bolthouse Farms,"Coffee Beverage, Mocha  Cappuccino",413
Bolthouse Farms,"Soy & Tea Beverage, Vanilla Chai",364
Bolthouse Farms,Vanilla Bean Protein Shake,680
Bolthouse Farms,"Breakfast Smoothie, Strawberry Parfait",648
Bolthouse Farms,Coffee Protein Shake with Caffeine,556
Bolthouse Farms,Dairy Free Vanilla Cinnamon Protein Shake with Oatmilk,519
Bolthouse Farms,Dairy Free Chocolate Salted Caramel Protein Shake with Oatmilk,563
Bolthouse Farms,"Coffee Beverage, Mocha Cappuccino",429
Brisk,Lemon Flavor Iced Tea,206
Brisk,Lemon Iced Tea,206
Brisk,"Iced Tea, Strawberry Melon",206
Brisk,Blood Orange Ice Tea,206
Brisk,"Iced Tea, Blueberry Pomegranate",188
Brisk,"Iced Tea, Lemon",206
Brisk,"Iced Tea, Passion Pineapple Punch",188
Brisk,Fruit Punch Juice Drink,206
Brisk,Raspberry Iced Tea,206
Brisk,"Half & Half, Iced Tea + Lemonade",188
Brisk,Passionfruit Iced Tea,206
Brisk,Sweet Tea Iced Tea,176
Brisk,Peach Iced Tea,184
Brisk,"Iced Tea, Blackberry Smash",188
Califia Farms,Pumpkin Spice Oat Barista Blend with Oatmilk,500
Califia Farms,Pumpkin Spice Almond Latte,375
Califia Farms,"Almond Latte, Mocha, Plant Based",400
Califia Farms,"Almond Latte, Chai",400
Califia Farms,"Limeade, Ginger",222
Califia Farms,"Lemonade, Tart Cherry",229
Califia Farms,Mocha Cold Brew Coffee with Almondmilk,400
Canada Dry,"Ginger Ale, Caffeine Free",191
Canada Dry,Fruit Splash Cherry Ginger Ale,194
Canada Dry,Ginger Ale,197
Canada Dry,"Ginger Ale, Cherry, Fruit Splash",195
Canada Dry,Tonic Water,200
Canada Dry,"Ginger Ale, Cranberry",194
