site_id,xcoordinat,ycoordinat,site_selec,2008-2010,2010-2013,2014-2016,2017-Current,is_present,symbol_cla,sampling_s,Lat,Long
228,918300,125373,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.51055198,-74.23717181
952,934108,139037,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.54815962,-74.18042266
2269,942090,150826,Reference,Y,Y,Y,Y,1,Routine Site,2008-present,40.58056044,-74.15177419
2496,1032592,151587,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.58261746,-73.82596104
2596,993035,152674,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.58572922,-73.96837016
2616,1013165,152573,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.58540776,-73.89589547
2818,932227,154067,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.58940337,-74.18730457
3156,987249,156523,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.59629704,-73.98919753
3162,993209,156818,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.59710246,-73.96773853
3742,1004866,160665,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.60764139,-73.92575199
4298,996002,164555,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.61833542,-73.95766725
4698,977448,167365,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.62605335,-74.02450304
4937,933198,169715,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.63236018,-74.18392925
5007,1003865,169484,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.6318512,-73.92932892
5390,963302,172201,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.63930422,-74.07547648
5424,996976,172496,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.64013161,-73.95414295
5531,964370,173556,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.64302601,-74.07163473
6404,1007592,179303,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.65879273,-73.91586792
6642,1045170,181703,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.66520176,-73.78040634
6689,998936,182259,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.66692571,-73.94705854
6747,1056048,182347,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.66688697,-73.74118913
7155,983136,187315,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.68081533,-74.00401292
7165,992267,187607,Purposeful,Y,Y,,Y,1,Routine Site,2008-present,40.68161256,-73.97109191
7191,1017561,187163,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.68033431,-73.87990022
7384,1008749,189179,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.68589582,-73.91166165
7717,1038140,191843,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.69307988,-73.8056653
7766,987691,192839,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.69597721,-73.98758853
7868,988192,193930,,,,,Y,1,Routine Site,2020-present,40.69897,-73.98579
7974,993992,195374,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.70292945,-73.96486109
8159,980075,196646,,,,,Y,1,Routine Site,2020-present,40.706424,-74.015059
8259,981197,197990,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.71011387,-74.01101043
8312,1033537,198171,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.71047404,-73.82221741
8464,995092,199975,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.71555575,-73.96088723
8550,985203,200319,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.71650733,-73.99656092
8555,989965,201054,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.71852252,-73.97937985
8745,985207,202964,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.72376657,-73.99654414
8869,1011881,203894,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.7262773,-73.90030793
8984,1028289,205128,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.72959857,-73.84110223
9151,998157,206643,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.73385473,-73.94981668
9254,1002870,207799,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.73701949,-73.93280943
9285,1033701,207874,Reference,Y,Y,Y,Y,1,Routine Site,2008-present,40.73710716,-73.82155565
9303,1051372,207255,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present,40.73529001,-73.75779766
9373,1021495,209192,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present,40.74078228,-73.8655928
9748,1001497,212402,,,,,Y,1,Routine Site,2020-present,40.749655,-73.937757
