Pollutant,Time,Season,Tertile,Source,Value
BC,2009,Winter,Low,Commercial Cooking,1.341481963
BC,2009,Winter,Medium,Commercial Cooking,1.300372482
BC,2009,Winter,High,Commercial Cooking,1.54346829
BC,2009,Spring,Low,Commercial Cooking,1.157300178
BC,2009,Spring,Medium,Commercial Cooking,1.063906502
BC,2009,Spring,High,Commercial Cooking,1.448313074
BC,2009,Summer,Low,Commercial Cooking,1.402257808
BC,2009,Summer,Medium,Commercial Cooking,1.157891033
BC,2009,Summer,High,Commercial Cooking,1.639111252
BC,2009,Fall,Low,Commercial Cooking,1.323148588
BC,2009,Fall,Medium,Commercial Cooking,1.152426457
BC,2009,Fall,High,Commercial Cooking,1.592881591
BC,2009,Winter,Low,Industrial Areas,1.3468105
BC,2009,Winter,Medium,Industrial Areas,1.272377815
BC,2009,Winter,High,Industrial Areas,1.564078946
BC,2009,Spring,Low,Industrial Areas,1.104606664
BC,2009,Spring,Medium,Industrial Areas,1.07042186
BC,2009,Spring,High,Industrial Areas,1.489821545
BC,2009,Summer,Low,Industrial Areas,1.239450769
BC,2009,Summer,Medium,Industrial Areas,1.170985556
BC,2009,Summer,High,Industrial Areas,1.776605428
BC,2009,Fall,Low,Industrial Areas,1.277728284
BC,2009,Fall,Medium,Industrial Areas,1.154943699
BC,2009,Fall,High,Industrial Areas,1.627248546
BC,2009,Winter,Low,Traffic Density,1.291384164
BC,2009,Winter,Medium,Traffic Density,1.245549921
BC,2009,Winter,High,Traffic Density,1.646333176
BC,2009,Spring,Low,Traffic Density,1.002850132
BC,2009,Spring,Medium,Traffic Density,1.113393928
BC,2009,Spring,High,Traffic Density,1.548606009
BC,2009,Summer,Low,Traffic Density,1.152437245
BC,2009,Summer,Medium,Traffic Density,1.198391143
BC,2009,Summer,High,Traffic Density,1.836213366
BC,2009,Fall,Low,Traffic Density,1.161779592
BC,2009,Fall,Medium,Traffic Density,1.144910546
BC,2009,Fall,High,Traffic Density,1.753230392
BC,2010,Winter,Low,Commercial Cooking,1.172782015
BC,2010,Winter,Medium,Commercial Cooking,1.082708635
BC,2010,Winter,High,Commercial Cooking,1.432094181
BC,2010,Spring,Low,Commercial Cooking,1.322962489
BC,2010,Spring,Medium,Commercial Cooking,1.13637551
BC,2010,Spring,High,Commercial Cooking,1.565242596
BC,2010,Summer,Low,Commercial Cooking,1.426217398
BC,2010,Summer,Medium,Commercial Cooking,1.186779776
BC,2010,Summer,High,Commercial Cooking,1.554275144
BC,2010,Fall,Low,Commercial Cooking,1.145540832
BC,2010,Fall,Medium,Commercial Cooking,0.982869984
BC,2010,Fall,High,Commercial Cooking,1.38736475
BC,2010,Winter,Low,Industrial Areas,1.198508647
BC,2010,Winter,Medium,Industrial Areas,1.167127643
BC,2010,Winter,High,Industrial Areas,1.317444872
BC,2010,Spring,Low,Industrial Areas,1.231992567
BC,2010,Spring,Medium,Industrial Areas,1.155475981
BC,2010,Spring,High,Industrial Areas,1.627782699
BC,2010,Summer,Low,Industrial Areas,1.23290811
BC,2010,Summer,Medium,Industrial Areas,1.222305664
BC,2010,Summer,High,Industrial Areas,1.700086662
BC,2010,Fall,Low,Industrial Areas,1.075493331
BC,2010,Fall,Medium,Industrial Areas,1.032533915
BC,2010,Fall,High,Industrial Areas,1.399614777
BC,2010,Winter,Low,Traffic Density,1.052222622
BC,2010,Winter,Medium,Traffic Density,1.107066968
BC,2010,Winter,High,Traffic Density,1.523791571
BC,2010,Spring,Low,Traffic Density,1.125456653
BC,2010,Spring,Medium,Traffic Density,1.197414334
BC,2010,Spring,High,Traffic Density,1.69238026
BC,2010,Summer,Low,Traffic Density,1.174353242
BC,2010,Summer,Medium,Traffic Density,1.209962354
BC,2010,Summer,High,Traffic Density,1.770984842
BC,2010,Fall,Low,Traffic Density,0.977651481
BC,2010,Fall,Medium,Traffic Density,1.045656702
BC,2010,Fall,High,Traffic Density,1.48433384
BC,2011,Winter,Low,Commercial Cooking,1.397946619
BC,2011,Winter,Medium,Commercial Cooking,1.302146786
BC,2011,Winter,High,Commercial Cooking,1.53806672
BC,2011,Spring,Low,Commercial Cooking,1.05758385
BC,2011,Spring,Medium,Commercial Cooking,0.91161399
BC,2011,Spring,High,Commercial Cooking,1.320421433
BC,2011,Summer,Low,Commercial Cooking,1.35483969
BC,2011,Summer,Medium,Commercial Cooking,1.24264311
BC,2011,Summer,High,Commercial Cooking,1.596931212
BC,2011,Fall,Low,Commercial Cooking,1.366499891
BC,2011,Fall,Medium,Commercial Cooking,1.23205453
BC,2011,Fall,High,Commercial Cooking,1.583376721
BC,2011,Winter,Low,Industrial Areas,1.376681925
BC,2011,Winter,Medium,Industrial Areas,1.242621373
BC,2011,Winter,High,Industrial Areas,1.614066836
BC,2011,Spring,Low,Industrial Areas,1.013108672
BC,2011,Spring,Medium,Industrial Areas,0.935992556
BC,2011,Spring,High,Industrial Areas,1.333219551
BC,2011,Summer,Low,Industrial Areas,1.299795476
BC,2011,Summer,Medium,Industrial Areas,1.237650716
BC,2011,Summer,High,Industrial Areas,1.65135799
BC,2011,Fall,Low,Industrial Areas,1.268429623
BC,2011,Fall,Medium,Industrial Areas,1.288152323
BC,2011,Fall,High,Industrial Areas,1.618626928
BC,2011,Winter,Low,Traffic Density,1.239164702
BC,2011,Winter,Medium,Traffic Density,1.309431322
BC,2011,Winter,High,Traffic Density,1.684774109
BC,2011,Spring,Low,Traffic Density,0.846331888
BC,2011,Spring,Medium,Traffic Density,1.002797288
BC,2011,Spring,High,Traffic Density,1.433191604
BC,2011,Summer,Low,Traffic Density,1.202387364
BC,2011,Summer,Medium,Traffic Density,1.238638677
BC,2011,Summer,High,Traffic Density,1.747778142
BC,2011,Fall,Low,Traffic Density,1.174806348
BC,2011,Fall,Medium,Traffic Density,1.279279401
BC,2011,Fall,High,Traffic Density,1.721123125
BC,2012,Winter,Low,Commercial Cooking,1.111770833
BC,2012,Winter,Medium,Commercial Cooking,1.063596453
BC,2012,Winter,High,Commercial Cooking,1.325824832
BC,2012,Spring,Low,Commercial Cooking,1.017500689
BC,2012,Spring,Medium,Commercial Cooking,0.99241355
BC,2012,Spring,High,Commercial Cooking,1.327954028
BC,2012,Summer,Low,Commercial Cooking,1.122943709
BC,2012,Summer,Medium,Commercial Cooking,1.167805261
BC,2012,Summer,High,Commercial Cooking,1.504978729
BC,2012,Fall,Low,Commercial Cooking,1.235020167
BC,2012,Fall,Medium,Commercial Cooking,1.112842464
BC,2012,Fall,High,Commercial Cooking,1.408683965
BC,2012,Winter,Low,Industrial Areas,1.071993783
BC,2012,Winter,Medium,Industrial Areas,1.058931532
BC,2012,Winter,High,Industrial Areas,1.367858084
BC,2012,Spring,Low,Industrial Areas,0.999117353
BC,2012,Spring,Medium,Industrial Areas,0.988071595
