Location,loc_col,Latitude,Longitude,Color
Queensboro Bridge,Queensboro_Bridge,40.761234,-73.963886,red
Hunt's Point,Hunts_Point,40.819009,-73.886198,limegreen
Queens College,Queens_College,40.737107,-73.821556,orange
Williamsburg Bridge,Williamsburg_Bridge,40.71807,-73.9861,blue
Broadway/35th St,Broadway_35th_St,40.75069,-73.9878,violet
