Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Insecticide,BK LIBRARY,1021-1641-57076,CONQUER RESIDUAL INSECTICIDE CONCENTRATE,0.12,0,88,Esfenvalerate,3,NO,NO,NO
Insecticide,BK LIBRARY,101563-4,SUSPEND SC INSECTICIDE,0.04,0,82,Deltamethrin,3,NO,NO,NO
Insecticide,BK LIBRARY,100-1498,DUPONT ADVION ANT GEL,0,1.63,78,Indoxacarb,3,NO,NO,NO
Insecticide,BK LIBRARY,101563-140,MAXFORCE QUANTUM ANT BAIT,0,0.99,56,Imidacloprid,3,NO,NO,NO
Insecticide,BK LIBRARY,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.01,0,30,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,BK LIBRARY,279-9554,CB INSECTICIDE WITH DELTAMETHRIN,0,9,22,Deltamethrin,3,NO,NO,NO
Insecticide,BK LIBRARY,1021-1815,EVERCIDE ESFENVALERATE 6.4% CS,0.01,0,16,Esfenvalerate,3,NO,NO,NO
Insecticide,BK LIBRARY,499-568,PT ALPINE PRESSURIZED FLY BAIT,0,2.38,6,Dinotefuran,3,NO,NO,NO
INSECTICIDE,BK LIBRARY,53883-384,CSI WASP KILLER,0,0.75,4,Prallethrin,3,NO,NO,NO
Insecticide,BK LIBRARY,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,0.1,4,Indoxacarb,3,NO,NO,NO
Insecticide,BK LIBRARY,101563-6,DELTA DUST,0,0.31,3,Deltamethrin,3,NO,NO,NO
Insecticide,BK LIBRARY,499-557,Alpine WSG,0,3.83,2,Novaluron,3,NO,NO,NO
Insecticide,BK LIBRARY,499-550,TC-323,0,1.25,2,Prallethrin,3,NO,NO,NO
INSECTICIDE,BK LIBRARY,64405-37,Nibor-D Insecticide Foam + IGR,0,0.88,2,Disodium octaborate tetrahydrate; Pyriproxyfen,3,NO,NO,NO
Insecticide,BK LIBRARY,101563-119,BES 0026 FLY SPOT BAIT,0,0.09,2,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
INSECTICIDE,BK LIBRARY,64405-5,RTU WOOD PRESERVATIVE/PESTICIDE,1,0,1,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,BK LIBRARY,101563-165,TEMPRID SC-F INSECTICIDE,0,0,1,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Rodenticide,BOE,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,1.37,8,Difethialone,3,NO,NO,NO
RODENTICIDE,BOE,7173-310,Bromethalin Soft Bait II,0,0.14,2,Bromethalin,3,NO,NO,NO
Rodenticide,BOE,12455-79,CONTRAC ALL-WEATHER BLOX,0,0.12,2,Bromadiolone,3,NO,NO,NO
Rodenticide,BOE,7173-308,Chlorophacinone Soft Bait,0,0.63,1,Chlorophacinone,3,NO,NO,NO
Insecticide,BOE,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,0.56,25,Indoxacarb,3,NO,NO,NO
Insecticide,BOE,101563-4,SUSPEND SC INSECTICIDE,0.03,0,7,Deltamethrin,3,NO,NO,NO
Insecticide,BOE,101563-165,TEMPRID SC-F INSECTICIDE,0.04,0,5,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,BOE,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0,0,1,(7S)-Hydroprene,3,NO,NO,NO
Rodenticide,CUNY,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,46.31,308,Difethialone,3,NO,NO,NO
Rodenticide,CUNY,12455-69,CONTRAC RODENTICIDE,0,3.56,13,Bromadiolone,3,NO,NO,NO
Rodenticide,CUNY,7173-297,BROMADIOLONE PASTE 0901,0,10.5,12,Bromadiolone,3,NO,NO,NO
Rodenticide,CUNY,56-42,BAIT BLOCK RODENTIICDE WITH PEANUT BUTTER FLAVORIZ,0,0.63,1,Diphacinone,3,NO,NO,NO
Rodenticide,CUNY,12455-56,DITRAC TRACKING POWDER,0,0.5,1,Diphacinone,2,NO,NO,NO
