Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Insecticide,DOE,101563-23,DRIONE INSECTICIDE,0,1.59,15,Pyrethrins; Piperonyl butoxide; Silica gel,3,YES,NO,NO
Insecticide,DOE,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0.51,0,13,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,DOE,101563-46,MAXFORCE FC ANT BAIT STATIONS,0,0.15,9,Fipronil,3,YES,NO,NO
Insecticide,DOE,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,0.72,6,Avermectin,3,NO,YES,NO
Insecticide,DOE,101563-47,MAXFORCE ROACH BAIT F.05,0,0.09,6,Fipronil,3,YES,NO,NO
Insecticide,DOE,53883-283,DM DUST 0.05% INSECTICIDE,0,0.04,4,Deltamethrin,3,NO,NO,NO
Insecticide,DOE,6218-47,SUMMIT B.T.I. BRIQUETS,0,37.69,2,Bacillus thuringiensis subspecies Israelensis strain BMP 144,3,NO,NO,NO
Insecticide,DOE,279-3206,TALSTAR TC FLOWABLE TERMITICIDE/INSECTICIDE,0,0.81,2,Bifenthrin,3,YES,NO,NO
INSECTICIDE,DOE,5481-13,ALCO FLY FIGHTER INSECT SPRAY PRESSURIZED,0,0.5,1,DDVP,3,YES,NO,YES
Insecticide,DOE,499-500,PRESCRIPTION TREATMENT BRAND ADVANCE COMPRESSED TERMITE BAIT II,0,0.19,1,Diflubenzuron,3,NO,NO,NO
Insecticide,DOE,499-527,PRESCRIPTION TREATMENT BRAND ALPINE DUST INSECTICIDE,0,0.04,1,Dinotefuran; Diatomaceous earth,3,NO,NO,NO
Rodenticide,DOF,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,2.05,17,Difethialone,3,NO,NO,NO
Rodenticide,DOF,7173-308,Chlorophacinone Soft Bait,0,0.38,2,Chlorophacinone,3,NO,NO,NO
Rodenticide,DOF,12455-146,CONTRAC SOFT BAIT,0,0.11,1,Bromadiolone,3,NO,NO,NO
Insecticide,DOF,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,1.11,46,Indoxacarb,3,NO,NO,NO
Insecticide,DOF,101563-165,TEMPRID SC-F INSECTICIDE,0.13,0,17,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DOF,64405-2,REDZONE BAIT,0,0.09,6,Boric acid,3,NO,NO,NO
Insecticide,DOF,101563-4,SUSPEND SC INSECTICIDE,0.04,0,5,Deltamethrin,3,NO,NO,NO
Insecticide,DOF,89459-59,ENVI ACU CONTACT Insecticide,0.05,0,1,Phenylethyl propionate,3,NO,NO,NO
Rodenticide,DOHMH,12455-69,CONTRAC RODENTICIDE,0,13219.75,18629,Bromadiolone,3,NO,NO,NO
Rodenticide,DOHMH,12455-90,FINAL RODENTICIDE,0,7798.06,12783,Brodifacoum,3,NO,NO,NO
Rodenticide,DOHMH,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,726.87,3124,Difethialone,3,NO,NO,NO
Rodenticide,DOHMH,12455-133,CONTRAC WITH LUMITRACK,0,290.49,746,Bromadiolone,3,NO,NO,NO
Rodenticide,DOHMH,100-1055,WEATHERBLOK BAIT WITH BITREX,0,283.92,454,Brodifacoum,3,NO,NO,NO
Rodenticide,DOHMH,12455-146,CONTRAC SOFT BAIT,0,47.36,402,Bromadiolone,3,NO,NO,NO
Rodenticide,DOHMH,7173-297,BROMADIOLONE PASTE 0901,0,82.42,344,Bromadiolone,3,NO,NO,NO
Rodenticide,DOHMH,12455-139,Final Soft Bait,0,33.19,86,Brodifacoum,3,NO,NO,NO
Rodenticide,DOHMH,7173-205,GENERATION PELLETS,0,12.75,17,Difethialone,3,NO,NO,NO
RODENTICIDE,DOHMH,7173-310,Bromethalin Soft Bait II,0,6.84,15,Bromethalin,3,NO,NO,NO
Rodenticide,DOHMH,7173-308,Chlorophacinone Soft Bait,0,13.31,12,Chlorophacinone,3,NO,NO,NO
Rodenticide,DOHMH,12455-75,CONTRAC RAT AND MOUSE BAIT READY TO USE PLACE PAC,0,3.94,9,Bromadiolone,3,NO,NO,NO
Rodenticide,DOHMH,12455-36,CONTRAC RAT AND MOUSE BAIT,0,11.63,8,Bromadiolone,3,NO,NO,NO
Rodenticide,DOHMH,12455-79,CONTRAC ALL-WEATHER BLOX,0,2.35,6,Bromadiolone,3,NO,NO,NO
Insecticide,DOHMH,73049-429,VECTOMAX FG,0,12862.67,478988,"Bacillus sphaericus; Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,DOHMH,73049-10,VECTOBAC G BIOLOGICAL LARVICIDE GRANULES,0,40050.46,877,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,DOHMH,73049-20,VECTOLEX CG BIOLOGICAL LARVICIDE,0,966.81,382,Bacillus sphaericus,3,NO,NO,NO
Insecticide,DOHMH,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,8.68,141,Indoxacarb,3,NO,NO,NO
Insecticide,DOHMH,1021-1795-8329,DUET DUAL-ACTION ADULTICIDE,395.23,0,83,Phenothrin; Piperonyl butoxide; Prallethrin,3,YES,NO,NO
Insecticide,DOHMH,64405-2,REDZONE BAIT,0,2.71,68,Boric acid,3,NO,NO,NO
Insecticide,DOHMH,101563-4,SUSPEND SC INSECTICIDE,0.29,0,41,Deltamethrin,3,NO,NO,NO
Insecticide,DOHMH,101563-165,TEMPRID SC-F INSECTICIDE,0.22,0,28,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DOHMH,100-1498,DUPONT ADVION ANT GEL,0,0.51,21,Indoxacarb,3,NO,NO,NO
Insecticide,DOHMH,73049-501,VBC-60394 FG BIOLOGICAL LARVICIDE FINE GRANULE,0,5990,20,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,DOHMH,89459-59,ENVI ACU CONTACT Insecticide,0.69,0,12,Phenylethyl propionate,3,NO,NO,NO
Insecticide,DOHMH,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.02,0,6,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,DOHMH,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,0.13,1,Avermectin,3,NO,YES,NO
INSECTICIDE,DOHMH,53883-466-82540,"Strike Max Alacer Ant Gel Bait ",0,0.07,1,Indoxacarb,3,NO,NO,NO
Insecticide,DOHMH,100-1485,DUPONT ADVION ANT BAIT ARENA,0,0.03,1,Indoxacarb,3,NO,NO,NO
Insecticide,DOHMH,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0,0,1,(7S)-Hydroprene,3,NO,NO,NO
Rodenticide,DOT,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,16.12,109,Difethialone,3,NO,NO,NO
RODENTICIDE,DOT,7173-310,Bromethalin Soft Bait II,0,10.64,23,Bromethalin,3,NO,NO,NO
Rodenticide,DOT,12455-79,CONTRAC ALL-WEATHER BLOX,0,4.44,19,Bromadiolone,3,NO,NO,NO
Rodenticide,DOT,7173-308,Chlorophacinone Soft Bait,0,5.63,11,Chlorophacinone,3,NO,NO,NO
Rodenticide,DOT,12455-69,CONTRAC RODENTICIDE,0,3.63,7,Bromadiolone,3,NO,NO,NO
Rodenticide,DOT,12455-146,CONTRAC SOFT BAIT,0,1.06,4,Bromadiolone,3,NO,NO,NO
Insecticide,DOT,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,3.72,87,Indoxacarb,3,NO,NO,NO
Insecticide,DOT,101563-165,TEMPRID SC-F INSECTICIDE,0.41,0,53,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DOT,64405-2,REDZONE BAIT,0,0.53,36,Boric acid,3,NO,NO,NO
Insecticide,DOT,100-1498,DUPONT ADVION ANT GEL,0,0.32,10,Indoxacarb,3,NO,NO,NO
Insecticide,DOT,101563-4,SUSPEND SC INSECTICIDE,0.05,0,7,Deltamethrin,3,NO,NO,NO
Insecticide,DOT,89459-59,ENVI ACU CONTACT Insecticide,0.05,0,1,Phenylethyl propionate,3,NO,NO,NO
Herbicide,DOT,101563-144,ESPLANADE 200 SC,5.27,0,358,Indaziflam,3,NO,NO,NO
HERBICIDE,DOT,228-534,NUFARM POLARIS HERBICIDE,52.5,0,354,"Imazapyr, isopropylamine salt",3,NO,NO,NO
HERBICIDE,DOT,101563-177,METHOD 240SL HERBICIDE,10.2,0,354,Aminocyclopyrachlor potassium salt,3,NO,NO,NO
Herbicide,DOT,7969-443,DERRINGER HERBICIDE,198.95,0,353,Glufosinate-ammonium,2,NO,NO,NO
HERBICIDE,DOT,62719-519,MILESTONE,20.19,0,352,"Aminopyralid, triisopropanolamine salt",3,NO,NO,NO
Herbicide,DOT,62719-176,PATHFINDER II,86.48,0,319,"Triclopyr, butoxyethyl ester",3,NO,NO,NO
Herbicide,DOT,62719-527,GARLON 4 ULTRA,62.01,0,99,Triclopyr,2,NO,NO,NO
HERBICIDE,DOT,53883-505,PRAMITOL 25E,15,0,21,Prometon,3,NO,NO,NO
Herbicide,DOT,101563-188,DUPONT VIEWPOINT HERBICIDE,2.59,0,8,Aminocyclopyrachlor; Imazapyr; Metsulfuron-methyl,3,NO,NO,NO
Herbicide,DOT,228-397,RIVERDALE VANQUISH HERBICIDE,0.03,0,4,"Dicamba, diglycolamine salt",3,NO,NO,NO
Rodenticide,DSNY,7173-258,DIFETHIALONE PASTE PLACE PACKS,0.3,101.31,251,Difethialone,3,NO,NO,NO
Rodenticide,DSNY,12455-76,CONTRAC RODENTICIDE READY TO USE PLACE PAC,0.47,268.2,218,Bromadiolone,3,NO,NO,NO
Rodenticide,DSNY,12455-89,FINAL ALL-WEATHER BLOX,0,32.76,29,Brodifacoum,3,NO,NO,NO
Rodenticide,DSNY,12455-139,Final Soft Bait,0,24.88,23,Brodifacoum,3,NO,NO,NO
RODENTICIDE,DSNY,56-42-8254,EATON'S ALL-WEATHER BAIT BLOCKS RODENTICIDE WITH MOLASSES/PEANUT BUTTE,0,19.06,8,Diphacinone,3,NO,NO,NO
Insecticide,DSNY,2724-351-50809,ZOECON GENCOR 9% EMULSIFIABLE CONCENTRATE,3.16,0,631,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,DSNY,100-1066,DEMAND CS INSECTICIDE,0.75,0.99,488,"Cyhalothrin, lambda",3,NO,NO,NO
Insecticide,DSNY,432-763-62719,SUSPEND SC,0.57,0.09,135,Deltamethrin,NULL,NO,NO,NO
Insecticide,DSNY,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,3.06,75,Indoxacarb,3,NO,NO,NO
Insecticide,DSNY,101563-165,TEMPRID SC-F INSECTICIDE,0.41,0,52,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DSNY,64405-2,REDZONE BAIT,0,0.09,26,Boric acid,3,NO,NO,NO
Insecticide,DSNY,279-3206,TALSTAR TC FLOWABLE TERMITICIDE/INSECTICIDE,0.9,0.31,24,Bifenthrin,3,YES,NO,NO
Insecticide,DSNY,73766-1,GOURMET ANT BAIT GEL,0.28,0.68,22,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,DSNY,499-550,TC-323,3.01,0,17,Prallethrin,3,NO,NO,NO
Insecticide,DSNY,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0.03,0.39,10,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,DSNY,89459-59,ENVI ACU CONTACT Insecticide,0.07,0,3,Phenylethyl propionate,3,NO,NO,NO
Insecticide,DSNY,101563-4,SUSPEND SC INSECTICIDE,0,0,2,Deltamethrin,3,NO,NO,NO
Insecticide,DSNY,499-462,PRO-CONTROL FOGGER IV,0.61,0,1,Pyrethrins; Cyfluthrin; Piperonyl butoxide,3,YES,NO,NO
Insecticide,DSNY,499-557,Alpine WSG,0,0.27,1,Novaluron,3,NO,NO,NO
Insecticide,DSNY,100-1498,DUPONT ADVION ANT GEL,0,0.04,1,Indoxacarb,3,NO,NO,NO
Rodenticide,EDC,100-1055,WEATHERBLOK BAIT WITH BITREX,0,866.52,1110,Brodifacoum,3,NO,NO,NO
Rodenticide,EDC,12455-79,CONTRAC ALL-WEATHER BLOX,0,101.3,138,Bromadiolone,3,NO,NO,NO
Rodenticide,EDC,12455-89,FINAL ALL-WEATHER BLOX,0,24.21,30,Brodifacoum,3,NO,NO,NO
RODENTICIDE,FDNY,7173-310,Bromethalin Soft Bait II,0,81.73,576,Bromethalin,3,NO,NO,NO
Rodenticide,FDNY,7173-308,Chlorophacinone Soft Bait,0,167.38,568,Chlorophacinone,3,NO,NO,NO
Rodenticide,FDNY,12455-146,CONTRAC SOFT BAIT,0,104.46,568,Bromadiolone,3,NO,NO,NO
Rodenticide,FDNY,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,66.34,514,Difethialone,3,NO,NO,NO
Rodenticide,FDNY,12455-69,CONTRAC RODENTICIDE,0,71.22,116,Bromadiolone,3,NO,NO,NO
Rodenticide,FDNY,12455-79,CONTRAC ALL-WEATHER BLOX,0,23.83,110,Bromadiolone,3,NO,NO,NO
Rodenticide,FDNY,12455-89,FINAL ALL-WEATHER BLOX,0,2.2,18,Brodifacoum,3,NO,NO,NO
RODENTICIDE,FDNY,87235-4,MONARK SB,0,1.85,8,Difenacoum,3,NO,NO,NO
Rodenticide,FDNY,7173-205,GENERATION PELLETS,0,0.13,2,Difethialone,3,NO,NO,NO
Insecticide,FDNY,101563-4,SUSPEND SC INSECTICIDE,6.62,0,1706,Deltamethrin,3,NO,NO,NO
Insecticide,FDNY,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,4.86,933,Indoxacarb,3,NO,NO,NO
Insecticide,FDNY,64405-2,REDZONE BAIT,0,168.16,604,Boric acid,3,NO,NO,NO
Insecticide,FDNY,100-1498,DUPONT ADVION ANT GEL,0,2.34,116,Indoxacarb,3,NO,NO,NO
Insecticide,FDNY,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.39,0,110,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,FDNY,499-550,TC-323,0,9,28,Prallethrin,3,NO,NO,NO
Insecticide,FDNY,1021-2796,MGK Formula 3113,0,0.1,20,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,FDNY,101563-165,TEMPRID SC-F INSECTICIDE,0.1,0,14,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,FDNY,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,7.69,10,Avermectin,3,NO,YES,NO
INSECTICIDE,FDNY,53883-444,CSI 16-189 Concentrate,0.01,0,4,"(7S)-Hydroprene, Pyriproxyfen, Imidacloprid",3,NO,NO,NO
INSECTICIDE,FDNY,68850-2,LABYRINTH TERMITE BAIT,0,9.39,4,Diflubenzuron,3,NO,NO,NO
INSECTICIDE,FDNY,53883-455,CSI 16-172A Aerosol,0,0.5,4,"Imidacloprid, Indoxacarb, Novaluron, Pyriproxyfen",3,NO,NO,NO
INSECTICIDE,FDNY,53883-466-82540,"Strike Max Alacer Ant Gel Bait ",0,0.26,4,Indoxacarb,3,NO,NO,NO
Insecticide,FDNY,101563-6,DELTA DUST,0,0.04,3,Deltamethrin,3,NO,NO,NO
Insecticide,FDNY,53883-335,N + P Regulator,0.01,0,2,Pyriproxyfen; Novaluron,3,NO,NO,NO
Insecticide,FDNY,2724-786,RF2050 SPRAY,0,0.25,2,Tetramethrin; Ethofenprox; Piperonyl butoxide,3,YES,NO,NO
Insecticide,FDNY,101563-93,TEMPO 1% PROFESSIONAL INSECTICIDE,0,0.13,2,Cyfluthrin,3,NO,NO,NO
Insecticide,FDNY,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,0.05,2,Indoxacarb,3,NO,NO,NO
INSECTICIDE,FDNY,499-561,TC-315,0,0.02,2,Dinotefuran,3,NO,NO,NO
Insecticide,FDNY,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0,0,2,(7S)-Hydroprene,3,NO,NO,NO
Rodenticide,HHC,100-1055,WEATHERBLOK BAIT WITH BITREX,0,130.9,257,Brodifacoum,3,NO,NO,NO
Rodenticide,HHC,12455-79,CONTRAC ALL-WEATHER BLOX,0,91.44,36,Bromadiolone,3,NO,NO,NO
Rodenticide,HHC,12455-56,DITRAC TRACKING POWDER,0,10.78,24,Diphacinone,2,NO,NO,NO
Rodenticide,HHC,7173-297,BROMADIOLONE PASTE 0901,0,1.8,7,Bromadiolone,3,NO,NO,NO
Rodenticide,HHC,7173-205,GENERATION PELLETS,0,0.81,4,Difethialone,3,NO,NO,NO
Insecticide,HHC,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,40.56,1304,Indoxacarb,3,NO,NO,NO
Insecticide,HHC,100-1498,DUPONT ADVION ANT GEL,0,21.44,428,Indoxacarb,3,NO,NO,NO
INSECTICIDE,HHC,64405-37,Nibor-D Insecticide Foam + IGR,0,186.38,276,Disodium octaborate tetrahydrate; Pyriproxyfen,3,NO,NO,NO
Insecticide,HHC,73079-12,SILICIDE(TM),0,37.81,252,Diatomaceous earth,3,NO,NO,NO
Insecticide,HHC,101563-59,TEMPO 10 WP INSECTICIDE,0,0.39,201,"Cyfluthrin, beta",3,NO,NO,NO
Insecticide,HHC,89186-1,Aprehend,1.91,0,49,Beauveria bassiana GHA,3,NO,NO,NO
Insecticide,HHC,499-550,TC-323,0,4.81,13,Prallethrin,3,NO,NO,NO
Insecticide,HHC,6218-47,SUMMIT B.T.I. BRIQUETS,0,2.21,12,Bacillus thuringiensis subspecies Israelensis strain BMP 144,3,NO,NO,NO
Insecticide,HHC,499-507,PRESCRIPTION TREATMENT BRAND ALPINE COCKROACH GEL BAIT RESERVOIR,0,0.03,4,Dinotefuran,3,NO,NO,NO
Insecticide,HHC,499-568,PT ALPINE PRESSURIZED FLY BAIT,0,0.31,2,Dinotefuran,3,NO,NO,NO
Insecticide,HHC,2724-375,ALTOSID BRIQUETS,0,0.01,1,S-Methoprene,3,NO,NO,NO
Rodenticide,HPD,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,87.54,210,Difethialone,3,NO,NO,NO
Rodenticide,HPD,12455-79,CONTRAC ALL-WEATHER BLOX,0,123.85,91,Bromadiolone,3,NO,NO,NO
Rodenticide,HPD,12455-75,CONTRAC RAT AND MOUSE BAIT READY TO USE PLACE PAC,0,2.94,2,Bromadiolone,3,NO,NO,NO
Rodenticide,HPD,7173-304,BROMETHALIN SOFT BAIT,0,0.09,2,Bromethalin,3,NO,NO,NO
Rodenticide,HPD,12455-146,CONTRAC SOFT BAIT,0,0.01,1,Bromadiolone,3,NO,NO,NO
Insecticide,"HPD ",100-1498,DUPONT ADVION ANT GEL,0,34.41,95,Indoxacarb,3,NO,NO,NO
Insecticide,HPD,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0,1.63,59,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,HPD,101563-4,SUSPEND SC INSECTICIDE,0.62,0,58,Deltamethrin,3,NO,NO,NO
Insecticide,"HPD ",100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,4.34,26,Indoxacarb,3,NO,NO,NO
Insecticide,HPD,101563-49,PRODUCT: RBF5,0,0.72,26,Fipronil,3,YES,NO,NO
Insecticide,HPD,53883-92,CYPER TC INSECTICIDE,0.38,0.01,21,"Cypermethrin, beta",3,YES,NO,NO
Insecticide,"HPD ",101563-165,TEMPRID SC-F INSECTICIDE,0.15,0,16,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,HPD,8033-109-279,TRANSPORT (R) MIKRON INSECTICIDE,0.04,0,4,Acetamiprid; Bifenthrin,3,YES,NO,NO
Insecticide,HPD,1021-1641-57076,CONQUER RESIDUAL INSECTICIDE CONCENTRATE,0.01,0,4,Esfenvalerate,3,NO,NO,NO
Insecticide,HPD,279-3206,TALSTAR TC FLOWABLE TERMITICIDE/INSECTICIDE,0.09,0,3,Bifenthrin,3,YES,NO,NO
Insecticide,"HPD ",64405-2,REDZONE BAIT,0,1.25,2,Boric acid,3,NO,NO,NO
Insecticide,HPD,101563-119,BES 0026 FLY SPOT BAIT,0,0.5,2,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
Insecticide,HPD,1021-1828,MGK ROACH BAIT 2822,0,0.06,2,Avermectin,3,NO,YES,NO
Insecticide,"HPD ",89459-59,ENVI ACU CONTACT Insecticide,0.03,0,1,Phenylethyl propionate,3,NO,NO,NO
Insecticide,HPD,100-1218,DEMON MAX INSECTICIDE,0,0,1,"Cypermethrin, beta",2,YES,NO,NO
Rodenticide,HRA,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,8.22,57,Difethialone,3,NO,NO,NO
Rodenticide,HRA,7173-308,Chlorophacinone Soft Bait,0,7,27,Chlorophacinone,3,NO,NO,NO
RODENTICIDE,HRA,7173-310,Bromethalin Soft Bait II,0,2.72,14,Bromethalin,3,NO,NO,NO
Rodenticide,HRA,12455-146,CONTRAC SOFT BAIT,0,2.67,8,Bromadiolone,3,NO,NO,NO
Rodenticide,HRA,12455-69,CONTRAC RODENTICIDE,0,1.25,6,Bromadiolone,3,NO,NO,NO
RODENTICIDE,HRA,87235-4,MONARK SB,0,0.33,1,Difenacoum,3,NO,NO,NO
Insecticide,HRA,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,5.71,252,Indoxacarb,3,NO,NO,NO
Insecticide,HRA,101563-4,SUSPEND SC INSECTICIDE,1.69,0,183,Deltamethrin,3,NO,NO,NO
Insecticide,HRA,101563-165,TEMPRID SC-F INSECTICIDE,0.31,0,40,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,HRA,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.12,0,31,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,HRA,64405-2,REDZONE BAIT,0,0.87,16,Boric acid,3,NO,NO,NO
Insecticide,HRA,89459-59,ENVI ACU CONTACT Insecticide,0.97,0,15,Phenylethyl propionate,3,NO,NO,NO
Insecticide,HRA,100-1498,DUPONT ADVION ANT GEL,0,0.3,15,Indoxacarb,3,NO,NO,NO
Insecticide,HRA,499-550,TC-323,0,0.06,1,Prallethrin,3,NO,NO,NO
Rodenticide,NYCHA,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,15525.95,57537,Difethialone,3,NO,NO,NO
Rodenticide,NYCHA,12455-56,DITRAC TRACKING POWDER,0,383.69,9833,Diphacinone,2,NO,NO,NO
Rodenticide,NYCHA,12455-79,CONTRAC ALL-WEATHER BLOX,0,1302.56,1283,Bromadiolone,3,NO,NO,NO
Rodenticide,NYCHA,12455-86,CONTRAC RODENTICIDE PLACE PAC,0,676.73,621,Bromadiolone,3,NO,NO,NO
Rodenticide,NYCHA,12455-69,CONTRAC RODENTICIDE,0,884.72,544,Bromadiolone,3,NO,NO,NO
Rodenticide,NYCHA,7173-297,BROMADIOLONE PASTE 0901,0,250.61,482,Bromadiolone,3,NO,NO,NO
Rodenticide,NYCHA,12455-139,Final Soft Bait,0,123.96,454,Brodifacoum,3,NO,NO,NO
Rodenticide,NYCHA,7173-308,Chlorophacinone Soft Bait,0,35.62,126,Chlorophacinone,3,NO,NO,NO
Rodenticide,NYCHA,12455-146,CONTRAC SOFT BAIT,0,7.79,39,Bromadiolone,3,NO,NO,NO
Rodenticide,NYCHA,12455-90,FINAL RODENTICIDE,0,52.42,16,Brodifacoum,3,NO,NO,NO
Rodenticide,NYCHA,7173-113,ROZOL TRACKING POWDER,0,0.44,3,Chlorophacinone,2,NO,NO,NO
Rodenticide,NYCHA,56-42,BAIT BLOCK RODENTIICDE WITH PEANUT BUTTER FLAVORIZ,0,0.17,2,Diphacinone,3,NO,NO,NO
Rodenticide,NYCHA,12455-148,Rat Ice,0,2,1,Carbon dioxide,2,NO,NO,NO
Rodenticide,NYCHA,12455-80,DITRAC ALL-WEATHER BLOX,0,0.75,1,Diphacinone,3,NO,NO,NO
Insecticide,NYCHA,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,1362.9,53165,Indoxacarb,3,NO,NO,NO
Insecticide,NYCHA,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,39,0,47247,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,NYCHA,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0,16962.43,23084,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,NYCHA,100-1290,OPTIGARD COCKROACH GEL BAIT,0,309,12481,"Emamectin, benzoate",3,NO,NO,NO
Insecticide,NYCHA,101563-4,SUSPEND SC INSECTICIDE,5.3,0,4024,Deltamethrin,3,NO,NO,NO
Insecticide,NYCHA,64405-2,REDZONE BAIT,0,1227.97,3858,Boric acid,3,NO,NO,NO
Insecticide,NYCHA,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0,94.03,3652,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,NYCHA,1021-2776,VBC3 INSECTICIDE,64.36,0,2526,Clothianidin; Piperonyl butoxide; Metofluthrin (ISO),0,YES,NO,NO
Insecticide,NYCHA,101563-165,TEMPRID SC-F INSECTICIDE,2.77,0,2434,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,NYCHA,397-13,STERI-FAB,0,1373.84,2383,"Phenothrin; Isopropyl alcohol; Alkyl (60%C14, 25%C12, 15%C16) dimethylbenzyl ammonium chloride; Didecyl dimethyl ammonium chloride",2,NO,NO,NO
Insecticide,NYCHA,101563-134,TEMPRID SC INSECTICIDE,0.46,0,1901,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,NYCHA,73766-1,GOURMET ANT BAIT GEL,0,12.52,848,Disodium octaborate tetrahydrate,3,NO,NO,NO
INSECTICIDE,NYCHA,100-1679,Advion Trio,0,22.07,820,Indoxacarb; Pyriproxyfen; Novaluron,3,NO,NO,NO
INSECTICIDE,NYCHA,53883-438,CSI 16-107G Indoxacarb Powder,0,9.67,507,Indoxacarb,3,NO,NO,NO
Insecticide,NYCHA,100-1486,DUPONT ADVION COCKROACH BAIT ARENA,0,306.32,438,Indoxacarb,3,NO,NO,NO
Insecticide,NYCHA,279-9554,CB INSECTICIDE WITH DELTAMETHRIN,0,77.63,326,Deltamethrin,3,NO,NO,NO
Insecticide,NYCHA,1021-2796,MGK Formula 3113,0,7.51,305,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,NYCHA,101563-119,BES 0026 FLY SPOT BAIT,0,154.3,154,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
INSECTICIDE,NYCHA,9688-239-8845,HOT SHOT ULTRA LIQUID ROACH BAIT,1.35,0,86,Dinotefuran,3,NO,NO,NO
Insecticide,NYCHA,432-1531,BES0600 INSECTICIDE,0,6.13,85,Clothianidin,0,NO,NO,NO
Insecticide,NYCHA,73079-12,SILICIDE(TM),0,9,68,Diatomaceous earth,3,NO,NO,NO
Insecticide,NYCHA,499-304,WHITMIRE OPTEM ME PT 600,0.05,0,67,Cyfluthrin,3,NO,NO,NO
Insecticide,NYCHA,499-550,TC-323,7.51,0.22,60,Prallethrin,3,NO,NO,NO
INSECTICIDE,NYCHA,2724-352,ZOECON RF-291 EMULSIFIABLE CONCENTRATE WITH PRECOR,0.14,0,49,S-Methoprene,3,NO,NO,NO
Insecticide,NYCHA,73079-4,BORACTIN INSECTICIDE POWDER,0,14.56,45,Boric acid,3,NO,NO,NO
