EPA product name,EPA reg. #,Volume (gallons),Weight (pounds),Total applications,Active ingredient data,EPA toxicity category,Prop65 developmental toxin,EPA carcinogen,IARC carcinogen
RHAPSODY AS0,264-1155,4.9,0.0,142,QST 713 strain of dried Bacillus subtilis,3,NO,NO,NO
T-22G BIOLOGICAL PLANT PROTECTANT GRANULES,68539-3,0.0,135.0,141,Trichoderma harzianum rifai strain KRL-AG2,3,NO,NO,NO
DACONIL ACTION,100-1364,859.0,0.0,103,Acibenzolar-S-methyl; Chlorothalonil,2,NO,YES,YES
QUALI-PRO T-NEX,53883-353,45.8,0.0,68,Trinexapac-ethyl,3,NO,NO,NO
BANOL TURF AND ORNAMENTAL FUNGICIDE,101563-21,153.6,0.0,56,Propamocarb hydrochloride,3,NO,NO,NO
12ESP705 FUNGICIDE,101563-162,0.0,1467.0,45,Fosetyl-Al,3,NO,NO,NO
LESCO MANICRUE 6FL,60063-7-10404,528.9,0.0,38,Chlorothalonil,2,NO,YES,YES
ARMOR TECH TEB360 XL,66222-117-86064,50.5,0.0,31,Tebuconazole,3,NO,YES,NO
TEBUCONAZOLE SC TURF AND ORNAMENTAL FUNGICIDE,101563-152,57.1,0.0,26,Tebuconazole,3,NO,YES,NO
TARTAN FLO FUNGICIDE,101563-113,104.6,0.0,33,Triadimefon; Trifloxystrobin,3,YES,YES,NO
