Pesticide type,EPA reg. #,EPA product name,Volume (gallons),Weight (pounds),Total applications,Active ingredient data
Insecticide,73079-14,IMIDACLOPRID GRANULAR BAIT,0.0,45.9,206,Imidacloprid
Insecticide,2724-484,RF 9707 AEROSOL,2.7,21.5,117,(7S)-Hydroprene
Insecticide,89459-59,ENVI ACU CONTACT Insecticide,4.7,0.9,107,Phenylethyl propionate
Insecticide,70051-2,TRIACT 70,4.6,0.0,105,Neem oil
Insecticide,101563-49,PRODUCT: RBF5,0.0,6.6,103,Fipronil
Insecticide,73079-4,BORACTIN INSECTICIDE POWDER,0.0,17.7,97,Boric acid
Insecticide,101563-140,MAXFORCE QUANTUM ANT BAIT,0.0,2.8,95,Imidacloprid
Insecticide,53883-466,Strike Max Alacer Ant Gel Bait,0.0,1.9,70,Indoxacarb
Insecticide,499-568,PT ALPINE PRESSURIZED FLY BAIT,0.0,52.8,63,Dinotefuran
Insecticide,53883-455,CSI 16-172A Aerosol,0.0,11.1,48,"Imidacloprid, Indoxacarb, Novaluron, Pyriproxyfen"
Insecticide,53883-335,N + P Regulator,0.2,0.0,46,Pyriproxyfen; Novaluron
Insecticide,73049-501,VBC-60394 FG BIOLOGICAL LARVICIDE FINE GRANULE,0.0,30.5,43,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52"
Insecticide,100-1485,DUPONT ADVION ANT BAIT ARENA,0.0,1.6,42,Indoxacarb
Insecticide,73049-20,VECTOLEX CG BIOLOGICAL LARVICIDE,0.0,50.2,30,Bacillus sphaericus
Insecticide,6218-47,SUMMIT B.T.I. BRIQUETS,0.8,13.4,28,Bacillus thuringiensis subspecies Israelensis strain BMP 144
Insecticide,2724-352,ZOECON RF-291 EMULSIFIABLE CONCENTRATE WITH PRECOR,0.1,0.4,27,S-Methoprene
Insecticide,64405-2,ECOLOGICAL ANT & INSECT BAIT,0.6,0.0,16,Boric acid
Insecticide,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0.0,2.4,12,Avermectin
Insecticide,73049-56,VECTOBAC WDG BIOLOGICAL LARVICIDE,0.0,9.6,11,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52"
Insecticide,100-1483,ADVION INSECT GRANULE,0.0,28.6,10,Indoxacarb
Insecticide,48813-1,SUFFOIL-X,2.9,4.0,9,Petroleum distillates
Insecticide,73079-2,INTICE GRANULAR BAIT,0.0,0.2,9,Boric acid
Insecticide,101563-47,MAXFORCE ROACH BAIT F.05,0.0,0.2,9,Fipronil
Insecticide,100-1636,Provaunt WDG,0.0,29.4,7,Indoxacarb
Insecticide,62719-523,BLACKHAWK,0.0,18.5,7,Spinosad
Insecticide,499-294,AVERT PRESCRIPTION TREATMENT 310,0.0,0.1,7,Avermectin
Insecticide,68850-2,LABYRINTH TERMITE BAIT,0.0,0.0,6,Diflubenzuron
Insecticide,73049-39,DIPEL DF DRY FLOWABLE BIOLOGICAL INSECTICIDE,0.0,0.2,5,"Bacillus thuringiensis, subsp. Kurstaki, strain ABTS-351, fermentation solids and solubles"
Insecticide,101563-46,MAXFORCE FC ANT BAIT STATIONS,0.0,0.1,5,Fipronil
Insecticide,101563-94,PRE-EMPT FLY BAIT,0.0,0.9,4,Imidacloprid; (Z)-9-Tricosene
Insecticide,59639-96,DISTANCE INSECT GROWTH REGULATOR,0.0,0.0,3,Pyriproxyfen
Insecticide,1021-1603,NYLAR 10EC,0.0,0.0,3,Pyriproxyfen
Insecticide,101563-122,MAXFORCE FC ROACH KILLER BAIT GEL F.05,0.0,0.2,3,Fipronil
Insecticide,70051-2,Neem Oil 70%,0.0,0.0,2,Neem oil
Insecticide,88760-1,TER-RTU1,0.1,0.0,1,Neem oil
Insecticide,62719-291,CONSERVE SC TURF AND ORNAMENTAL,0.0,0.0,1,Spinosad
Insecticide,2724-421,ZOECON RF-292 BRIQUET,0.0,6.1,1,S-Methoprene
Insecticide,62637-3,BMP 144 (200 G),0.0,5.0,1,Bacillus thuringiensis subspecies Israelensis strain BMP 144
Insecticide,100-1487,PROVAUNT,0.0,3.1,1,Indoxacarb
Insecticide,1021-1828,MGK ROACH BAIT 2822,0.0,0.0,1,Avermectin
