Year,Mosquito Larvicides,Rodenticide,Insecticide,Herbicide,Fungicide
2008,93597,38267,15154,9881,13789
2009,71751,25856,16050,19359,13126
2010,47616,40871,8650,6016,13959
2011,59174,33022,5314,12566,12513
2012,44211,25741,7200,9254,10553
2013,45588,29544,11660,13762,10135
2014,44613,30012,8092,9000,8341
2015,45040,31443,5078,6075,9419
2016,89019,39275,6675,21598,6615
2017,52249,52146,10485,21133,6722
2018,54800,64128,10044,20410,5697
2019,57841,83803,9774,30287,7630
2020,50018,45345,9649,34743,9076
2021,73177,62511,7012,27067,9067
2022,48872,75749,5075,24704,7342
2023,49424,80347,15322,25141,8900
2024,59943,63843,41154,21989,8133
2025,57336,53303,16484,63149,13052
