Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
RODENTICIDE,61282-97-56,JT EatonTM Answer® Kills Mice with Reusable Bait Station A,0,0.31,1,Bromethalin,3,NO,NO,NO
Other,59807-4,HORMODIN 1,0,0.48,66,IBA,3,NO,NO,NO
Other,60061-142,PETTIT NEPTUNE 5 HARD HYBRID ABLATIVE ANTIFOULING PAINT,17,0,17,Copper oxide (ous),2,NO,NO,NO
Other,70299-16-84732,GREEN STOP LIQUID ALGAECIDE,0.97,0,2,"Hydrogen peroxide, Peroxyacetic acid",1,NO,NO,NO
Other,73049-15,PROGIBB 4% PLANT GROWTH REGULATOR SOLUTION,0,0,2,Gibberellins,2,NO,NO,NO
Other,63838-5,BROMMAX 7.1,70,0,1,Sodium bromide; Sodium hypochlorite,1,NO,NO,NO
Other,14802-8-74466,MICROBE LIFE ALGAWAY 5.4 ALGAECIDE FOR PONDS,4.25,0,1,Poly(oxyethylene) (dimethylimino) ethylene (dimethylimino) ethylene dichloride,3,NO,NO,NO
Other,70299-19,SANIDATE 5.0,0.94,0,1,"Hydrogen peroxide, Peroxyacetic acid",1,NO,NO,NO
Insecticide,73049-429,VECTOMAX FG,0,12867.49,479020,"Bacillus sphaericus; Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
Insecticide,100-1484,DUPONT ADVION COCKROACH GEL BAIT,9.02,1552.66,64371,Indoxacarb,3,NO,NO,NO
Insecticide,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,40.48,6.19,47749,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,2724-469,ZOECON (S)-HYDROPRENE ROACH CONTROL STATION II,0.51,16966.79,23121,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,64405-2,REDZONE BAIT,0,10798.12,16991,Boric acid,3,NO,NO,NO
Insecticide,100-1290,OPTIGARD COCKROACH GEL BAIT,0,309,12481,"Emamectin, benzoate",3,NO,NO,NO
Insecticide,101563-4,SUSPEND SC INSECTICIDE,27.5,1.14,8033,Deltamethrin,3,NO,NO,NO
Insecticide,499-510,PRESCRIPTION TREATMENT BRAND ALPINE COCKROACH GEL BAIT PISTON CAN,0,80.7,7887,Dinotefuran,3,NO,NO,NO
INSECTICIDE,74578-12,TREE-AGE R10,71.87,0,7886,"Emamectin, benzoate",2,NO,NO,NO
Insecticide,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0.66,123.03,4953,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,101563-165,TEMPRID SC-F INSECTICIDE,8.69,0,3286,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,397-13,STERI-FAB,9.25,1380.96,2562,"Phenothrin; Isopropyl alcohol; Alkyl (60%C14, 25%C12, 15%C16) dimethylbenzyl ammonium chloride; Didecyl dimethyl ammonium chloride",2,NO,NO,NO
Insecticide,1021-2776,VBC3 INSECTICIDE,64.36,0,2526,Clothianidin; Piperonyl butoxide; Metofluthrin (ISO),0,YES,NO,NO
Insecticide,101563-134,TEMPRID SC INSECTICIDE,0.46,0,1901,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,100-1498,DUPONT ADVION ANT GEL,0.01,81.78,1854,Indoxacarb,3,NO,NO,NO
Insecticide,73079-6,GREEN ZONE GRANULAR BAIT,0,199.41,1043,Boric acid,3,NO,NO,NO
Insecticide,73766-1,GOURMET ANT BAIT GEL,0.28,13.68,911,Disodium octaborate tetrahydrate,3,NO,NO,NO
Insecticide,73049-10,VECTOBAC G BIOLOGICAL LARVICIDE GRANULES,0,40050.46,877,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",3,NO,NO,NO
INSECTICIDE,100-1679,Advion Trio,0,22.07,820,Indoxacarb; Pyriproxyfen; Novaluron,3,NO,NO,NO
