Year,Glyphosate 
2008,1018
2009,5226
2010,979
2011,1368
2012,1572
2013,831
2014,905
2015,792
2016,604
2017,366
2018,306
2019,248
2020,129
2021,188
2022,19
2023,155
2024,23
2025,114
