Year,Bedbugs,Roaches
2008,696,963
2009,1110,746
2010,705,1413
2011,668,902
2012,928,1166
2013,688,662
2014,1247,560
2015,350,380
2016,523,729
2017,497,904
2018,478,805
2019,395,743
2020,418,558
2021,354,345
2022,205,277
2023,143,177
2024,65,45
2025,61,59
