Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data
INSECTICIDE,64405-37,Nibor-D Insecticide Foam + IGR,0,187.38,280,Disodium octaborate tetrahydrate; Pyriproxyfen
Insecticide,101563-119,BES 0026 FLY SPOT BAIT,46.59,155.71,240,Imidacloprid; (Z)-9-Tricosene
Insecticide,89459-59,ENVI ACU CONTACT Insecticide,12.88,3.28,218,Phenylethyl propionate
Insecticide,73079-14,IMIDACLOPRID GRANULAR BAIT,0,13.41,135,Imidacloprid
Insecticide,101563-122,MAXFORCE FC ROACH KILLER BAIT GEL F.05,0,4.14,132,Fipronil
Insecticide,101563-140,MAXFORCE QUANTUM ANT BAIT,0,2.54,108,Imidacloprid
Insecticide,64405-8,NIBOR BORATE INSECTICIDE AND FUNGICIDE,0,57.09,56,Disodium octaborate tetrahydrate
INSECTICIDE,2724-352,ZOECON RF-291 EMULSIFIABLE CONCENTRATE WITH PRECOR,0.21,0,53,S-Methoprene
Insecticide,101563-49,PRODUCT: RBF5,0.23,1.09,49,Fipronil
Insecticide,73079-4,BORACTIN INSECTICIDE POWDER,0,14.56,45,Boric acid
Insecticide,499-370,PT 370 ASCEND FIRE ANT STOPPER BAIT,0,11.03,32,Avermectin
Insecticide,101563-47,MAXFORCE ROACH BAIT F.05,0,0.66,31,Fipronil
Insecticide,2724-484,RF 9707 AEROSOL,0.8,6.69,29,(7S)-Hydroprene
Insecticide,6218-47,SUMMIT B.T.I. BRIQUETS,0.01,49.07,29,Bacillus thuringiensis subspecies Israelensis strain BMP 144
Insecticide,499-410,AVERT PRESCRIPTION TREATMENT TC 93B BAIT,0,0.14,29,Avermectin
Insecticide,73049-501,VBC-60394 FG BIOLOGICAL LARVICIDE FINE GRANULE,0,5990,20,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52"
Insecticide,70051-2,TRIACT 70,2.24,0,18,Neem oil
Insecticide,73049-56,VECTOBAC WDG BIOLOGICAL LARVICIDE,0,17.6,14,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52"
Insecticide,499-568,PT ALPINE PRESSURIZED FLY BAIT,0,3.46,13,Dinotefuran
Insecticide,64405-2,ECOLOGICAL ANT & INSECT BAIT,0.03,3.31,12,Boric acid
Insecticide,73079-2,INTICE GRANULAR BAIT,0,0.29,12,Boric acid
Insecticide,100-1485,DUPONT ADVION ANT BAIT ARENA,0,0.28,12,Indoxacarb
INSECTICIDE,53883-466,"Strike Max Alacer Ant Gel Bait ",0,0.35,10,Indoxacarb
Insecticide,101563-46,MAXFORCE FC ANT BAIT STATIONS,0,0.15,9,Fipronil
Insecticide,62719-523,BLACKHAWK,0,21.44,6,Spinosad
INSECTICIDE,100-1636,Provaunt WDG,0,48.84,5,Indoxacarb
INSECTICIDE,53883-455,CSI 16-172A Aerosol,0,0.63,5,"Imidacloprid, Indoxacarb, Novaluron, Pyriproxyfen"
Insecticide,73049-39,DIPEL DF DRY FLOWABLE BIOLOGICAL INSECTICIDE,0,0.12,5,"Bacillus thuringiensis, subsp. Kurstaki, strain ABTS-351, fermentation solids and solubles"
INSECTICIDE,68850-2,LABYRINTH TERMITE BAIT,0,9.39,4,Diflubenzuron
Insecticide,2724-421,ZOECON RF-292 BRIQUET,0,0.26,4,S-Methoprene
Insecticide,62719-291,CONSERVE SC TURF AND ORNAMENTAL,0.11,0,3,Spinosad
Insecticide,48813-1,SUFFOIL-X,0.09,1,3,Petroleum distillates
Insecticide,53883-335,N + P Regulator,0.01,0,3,Pyriproxyfen; Novaluron
Insecticide,85306-1,SELECT TCS,0,0.9,3,Fipronil
Insecticide,10163-324,M-PEDE INSECTICIDE/FUNGICIDE,2,0.47,2,Potassium laurate
Insecticide,100-1487,PROVAUNT,1.13,0,2,Indoxacarb
Insecticide,59639-96,DISTANCE INSECT GROWTH REGULATOR,0.12,0,2,Pyriproxyfen
INSECTICIDE,6218-86,MOSQUITO BITS,0,1.51,2,"Bacillus thuringiensis subsp. israelensis, Strain SUM-6218"
Insecticide,1021-1828,MGK ROACH BAIT 2822,0,0.06,2,Avermectin
INSECTICIDE,64405-5,RTU WOOD PRESERVATIVE/PESTICIDE,1,0,1,Disodium octaborate tetrahydrate
Insecticide,499-527,PRESCRIPTION TREATMENT BRAND ALPINE DUST INSECTICIDE,0,0.04,1,Dinotefuran; Diatomaceous earth
Insecticide,2724-375,ALTOSID BRIQUETS,0,0.01,1,S-Methoprene
Insecticide,499-496,PRESCRIPTION TREATMENT BRAND ADVANCE 360A DUAL CHOICE ANT BAIT STATIONS,0,0,1,Avermectin
