EPA product name,EPA reg. #,Volume (gallons),Weight (pounds),Total applications,Active ingredient data,EPA toxicity category,Prop65 developmental toxin,EPA carcinogen,IARC carcinogen
DIFETHIALONE PASTE PLACE PACKS,7173-258,500.1,8664.5,36846,Difethialone,3,NO,NO,NO
Chlorophacinone Soft Bait,7173-308,0.0,11076.2,28517,Chlorophacinone,3,NO,NO,NO
CONTRAC RODENTICIDE,12455-69,0.0,18183.7,24247,Bromadiolone,3,NO,NO,NO
DITRAC TRACKING POWDER,12455-56,0.0,480.9,8724,Diphacinone,2,NO,NO,NO
Bromethalin Soft Bait II,7173-310,0.0,1305.3,7226,Bromethalin,3,NO,NO,NO
FINAL RODENTICIDE,12455-90,0.0,2826.8,4826,Brodifacoum,3,NO,NO,NO
CONTRAC ALL-WEATHER BLOX,12455-79,5.6,2775.2,2914,Bromadiolone,3,NO,NO,NO
BROMADIOLONE PASTE 0901,7173-297,0.0,669.2,1889,Bromadiolone,3,NO,NO,NO
WEATHERBLOK BAIT WITH BITREX,61282-110,0.0,954.3,1174,Brodifacoum,3,NO,NO,NO
JT EATON NECTUS SOFT BAIT 2G SECOND GENERATION RODENTICIDE,82744-2-56,0.0,750.3,898,Bromadiolone,3,NO,NO,NO
