cause,description,source,URL
Abuse,"Adult and child abuse, neglect, and other maltreatment, confirmed or suspected",,
Alzheimer's disease,,,
Bite or sting,,,
Blood diseases and disorders Involving the Immune Mechanism,"such as nutritional anemia, sickle cell/trait anemia, and immunity disorders.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Cerebrovascular disease,Conditions that affect blood flow to or in the brain such as stroke or brain aneurysm,,
Chronic liver disease/cirrhosis,,,
Dental diseases,"Any dental condition including traumatic injury, 
Genitourinary system diseases,"such as chronic kidney disease, urinary tract infections, 
Skin diseases,such as pressure ulcers and contact dermatitis,"Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Infectious and parasitic diseases,"such as tuberculosis, septicemia, hepatitis, and COVID-19.","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
"Mental, behavioral and neurodevelopmental disorders","such as depressive disorders, alcohol-related 
Newborn bacterial sepsis,,,
Newborn respiratory distress,,,
Non-drug poisoning,"Ingestion, inhalation, absorption through the skin, or injection of so much of a chemical that a harmful effect results.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
null,null,null,
Other classifiable mechanism,Injury associated with any other specified cause.,"Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
Other diseases of nervous system,,,
Other infective/parasitic diseases,,,
Other natural causes,,,
Perinatal conditions,Conditions originating around the time of childbirth,,
Poisoning,"Ingestion, inhalation, absorption through the skin, or injection of so much of a drug or toxin that a harmful effect results, such as drug overdoses.","Hedegaard H, Johnson RL, Garnett MF, Thomas KE. The International Classification of Diseases, 10th Revision, Clinical Modification (ICD–10–CM) external cause-of-injury framework for categorizing mechanism and intent of injury. National Health Statistics Reports; no 136. Hyattsville, MD: National Center for Health Statistics. 2019.",https://www.cdc.gov/nchs/data/injury/nhsr136-508.pdf
"Pregnancy, childbirth and the puerperium","Ectopic pregnancy and complications, early or 
threatened labor, diabetes or abnormal 
glucose tolerance complicating pregnancy, 
childbirth or the puerperium, and routine birth-related hospitalizations","Agency for Healthcare Research and Quality. (2024, November 1). Clinical Classifications Software Refined (CCSR) for ICD-10-CM diagnoses: User guide (v2025.1). Healthcare Cost and Utilization Project (HCUP). https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf",https://hcup-us.ahrq.gov/toolssoftware/ccsr/DXCCSR-User-Guide-v2025-1.pdf
Short gestation/low birth weight,,,
SIDS,"Sudden infant death syndrome, accidental suffocation and strangulation in bed, and other deaths from unknown causes",,
