type,InjuryOnly,agegroup,Annual_Average_Count,rate,flag,rank_unique,Intent,cause_text
Hospitalization,1,1 - 4,268,72.099422074,,1,Unintentional,Fall
Hospitalization,1,1 - 4,149,40.124895763,,2,Unintentional,Unspecified mechanism
Hospitalization,1,1 - 4,133,35.646670789,,3,Unintentional,Hot object or substance
Hospitalization,1,1 - 4,97,26.063269346,,4,Unintentional,Drug poisoning
Hospitalization,1,1 - 4,82,22.122431369,,5,Unintentional,Foreign object
Hospitalization,1,1 - 4,58,15.673787407,,6,Unintentional,Bite or sting
Hospitalization,1,1 - 4,27,7.2547244571,,7,Unintentional,Non-drug poisoning
Hospitalization,1,1 - 4,24,6.4486439619,,8,Unintentional,Struck by or against
Hospitalization,1,1 - 4,20,5.2843054688,,9,Assault,Abuse
Hospitalization,1,1 - 4,12,3.1347574815,,10,Unintentional,Pedestrian struck by motor vehicle
Hospitalization,1,10 - 14,230,49.40630095,,1,Unintentional,Fall
Hospitalization,1,10 - 14,162,34.727617335,,2,Unintentional,Unspecified mechanism
Hospitalization,1,10 - 14,135,28.999350558,,3,Self-Harm,Drug poisoning
Hospitalization,1,10 - 14,49,10.597293537,,4,Unintentional,Struck by or against
Hospitalization,1,10 - 14,38,8.162780157,,5,Unintentional,Pedestrian struck by motor vehicle
Hospitalization,1,10 - 14,35,7.4467468099,,6,Self-Harm,Cut or pierce
Hospitalization,1,10 - 14,27,5.7998701116,,7,Unintentional,Bite or sting
Hospitalization,1,10 - 14,27,5.8714734463,,8,Unintentional,Drug poisoning
Hospitalization,1,10 - 14,26,5.6566634421,,9,Assault,Struck by or against
Hospitalization,1,10 - 14,25,5.2986467686,,10,Unintentional,Foreign object
Hospitalization,1,15 - 24,686,72.527617438,,1,Unintentional,Unspecified mechanism
Hospitalization,1,15 - 24,583,61.667867233,,2,Self-Harm,Drug poisoning
Hospitalization,1,15 - 24,565,59.763885054,,3,Unintentional,Fall
Hospitalization,1,15 - 24,255,27.008339795,,4,Unintentional,Drug poisoning
Hospitalization,1,15 - 24,251,26.514714785,,5,Assault,Struck by or against
Hospitalization,1,15 - 24,239,25.280652262,,6,Unintentional,Motor vehicle occupant
Hospitalization,1,15 - 24,197,20.838027178,,7,Unintentional,Motorcyclist
Hospitalization,1,15 - 24,165,17.417911042,,8,Assault,Cut or pierce
Hospitalization,1,15 - 24,152,16.113330661,,9,Unintentional,Struck by or against
Hospitalization,1,15 - 24,142,15.020303854,,10,Assault,Firearm
Hospitalization,1,25 - 34,1240,89.508071242,,1,Unintentional,Fall
Hospitalization,1,25 - 34,1171,84.528718716,,2,Unintentional,Unspecified mechanism
Hospitalization,1,25 - 34,633,45.704201924,,3,Unintentional,Drug poisoning
