CD,CD Name,Wage,Scenario,Variable,modelledValue,changeFromBaseline
101,Financial District,a20,scen1,poverty,15.16797,-0.10893
102,Greenwich Village and Soho,a20,scen1,poverty,15.16797,-0.10893
103,Lower East Side and Chinatown,a20,scen1,poverty,40.44347,-0.86282
104,Clinton and Chelsea,a20,scen1,poverty,17.5968,-0.50361
105,Midtown,a20,scen1,poverty,14.74092,-0.10281
106,Stuyvesant Town and Turtle Bay,a20,scen1,poverty,14.74092,-0.10281
107,Upper West Side,a20,scen1,poverty,18.27027,-0.03622
108,Upper East Side,a20,scen1,poverty,7.6701,0
109,Morningside Heights and Hamilton Heights,a20,scen1,poverty,47.75693,1E-05
110,Central Harlem,a20,scen1,poverty,37.81938,-2.57149
111,East Harlem,a20,scen1,poverty,53.88589,-2.37904
112,Washington Heights and Inwood,a20,scen1,poverty,31.02864,-0.2389
201,Mott Haven and Melrose,a20,scen1,poverty,55.32268,-5.30288
202,Hunts Point and Longwood,a20,scen1,poverty,55.32268,-5.30288
203,Morrisania and Crotona,a20,scen1,poverty,62.54561,-0.15699
204,Highbridge and Concourse,a20,scen1,poverty,51.60893,-1.70218
205,Fordham and University Heights,a20,scen1,poverty,56.44185,-3.85883
206,Belmont and East Tremont,a20,scen1,poverty,62.54561,-0.15699
207,Kingsbridge Heights and Bedford,a20,scen1,poverty,50.46542,-2.55397
208,Riverdale and Fieldston,a20,scen1,poverty,30.28773,-0.94765
209,Parkchester and Soundview,a20,scen1,poverty,55.32271,-0.57588
210,Throgs Neck and Co-op City,a20,scen1,poverty,28.13322,-0.43781
211,Morris Park and Bronxdale,a20,scen1,poverty,34.09114,-0.77766
212,Williamsbridge and Baychester,a20,scen1,poverty,35.38598,-0.43958
301,Greenpoint and Williamsburg,a20,scen1,poverty,28.25585,0
302,Fort Greene and Brooklyn Heights,a20,scen1,poverty,19.81512,0
303,Bedford Stuyvesant,a20,scen1,poverty,35.66131,-0.70192
304,Bushwick,a20,scen1,poverty,27.51382,-1.05676
305,East New York and Starrett City,a20,scen1,poverty,40.55722,-0.56234
306,Park Slope and Carroll Gardens,a20,scen1,poverty,15.18009,-0.04696
307,Sunset Park,a20,scen1,poverty,30.94145,-0.47736
308,Crown Heights and Prospect Heights,a20,scen1,poverty,28.07815,-1E-05
309,South Crown Heights and Lefferts Gardens,a20,scen1,poverty,29.64882,0
310,Bay Ridge and Dyker Heights,a20,scen1,poverty,26.38466,-0.08835
311,Bensonhurst,a20,scen1,poverty,37.38443,-0.94832
312,Borough Park,a20,scen1,poverty,49.97342,-0.58073
313,Coney Island,a20,scen1,poverty,35.488,-0.71883
314,Flatbush and Midwood,a20,scen1,poverty,26.51179,-1.06776
315,Sheepshead Bay,a20,scen1,poverty,32.66007,-0.17062
316,Brownsville,a20,scen1,poverty,53.63717,-0.95513
317,East Flatbush,a20,scen1,poverty,32.91052,-2.71972
318,Flatlands and Canarsie,a20,scen1,poverty,21.44889,-1.05445
401,Long Island City and Astoria,a20,scen1,poverty,25.38999,-0.2697
402,Woodside and Sunnyside,a20,scen1,poverty,21.47577,-0.42333
403,Jackson Heights,a20,scen1,poverty,36.49888,-1.89904
404,Elmhurst and Corona,a20,scen1,poverty,33.28772,-0.60032
405,Ridgewood and Maspeth,a20,scen1,poverty,22.17034,-0.13542
406,Rego Park and Forest Hills,a20,scen1,poverty,19.26387,0
407,Flushing and Whitestone,a20,scen1,poverty,36.10151,-1.26106
408,Hillcrest and Fresh Meadows,a20,scen1,poverty,34.425,-3.14793
409,Kew Gardens and Woodhaven,a20,scen1,poverty,22.53714,-1.42568
410,South Ozone Park and Howard Beach,a20,scen1,poverty,30.25781,-0.93126
411,Bayside and Little Neck,a20,scen1,poverty,17.76498,-0.20523
412,Jamaica and Hollis,a20,scen1,poverty,27.58466,-1.14229
413,Queens Village,a20,scen1,poverty,16.89251,-1.23587
414,Rockaway and Broad Channel,a20,scen1,poverty,38.64385,-1.88648
501,St. George and Stapleton,a20,scen1,poverty,37.23934,-0.91687
502,South Beach and Willowbrook,a20,scen1,poverty,18.28579,-0.04686
503,Tottenville and Great Kills,a20,scen1,poverty,16.99965,-0.21212
101,Financial District,a20,scen1,prematuremort,103.0214,-0.3835
102,Greenwich Village and Soho,a20,scen1,prematuremort,103.0214,-0.3835
103,Lower East Side and Chinatown,a20,scen1,prematuremort,200.3904,-3.0376
104,Clinton and Chelsea,a20,scen1,prematuremort,84.95309,-1.77301
105,Midtown,a20,scen1,prematuremort,69.67461,-0.36196
106,Stuyvesant Town and Turtle Bay,a20,scen1,prematuremort,69.67461,-0.36196
107,Upper West Side,a20,scen1,prematuremort,142.5762,-0.1275
108,Upper East Side,a20,scen1,prematuremort,98.05856,0
109,Morningside Heights and Hamilton Heights,a20,scen1,prematuremort,244.2478,0.0001
110,Central Harlem,a20,scen1,prematuremort,311.574,-9.0532
111,East Harlem,a20,scen1,prematuremort,342.9771,-8.3757
112,Washington Heights and Inwood,a20,scen1,prematuremort,208.0673,-0.8411
201,Mott Haven and Melrose,a20,scen1,prematuremort,330.8354,-18.6694
202,Hunts Point and Longwood,a20,scen1,prematuremort,330.8354,-18.6694
203,Morrisania and Crotona,a20,scen1,prematuremort,386.524,-0.5527
204,Highbridge and Concourse,a20,scen1,prematuremort,334.8625,-5.9928
205,Fordham and University Heights,a20,scen1,prematuremort,397.4576,-13.5855
206,Belmont and East Tremont,a20,scen1,prematuremort,386.524,-0.5527
207,Kingsbridge Heights and Bedford,a20,scen1,prematuremort,288.9143,-8.9916
208,Riverdale and Fieldston,a20,scen1,prematuremort,220.635,-3.3363
209,Parkchester and Soundview,a20,scen1,prematuremort,337.5115,-2.0275
210,Throgs Neck and Co-op City,a20,scen1,prematuremort,238.3234,-1.5413
211,Morris Park and Bronxdale,a20,scen1,prematuremort,242.0142,-2.7379
212,Williamsbridge and Baychester,a20,scen1,prematuremort,309.5321,-1.5476
301,Greenpoint and Williamsburg,a20,scen1,prematuremort,147.9316,0
302,Fort Greene and Brooklyn Heights,a20,scen1,prematuremort,133.7412,0
303,Bedford Stuyvesant,a20,scen1,prematuremort,274.9337,-2.4712
304,Bushwick,a20,scen1,prematuremort,173.8575,-3.7204
305,East New York and Starrett City,a20,scen1,prematuremort,340.3011,-1.9798
306,Park Slope and Carroll Gardens,a20,scen1,prematuremort,120.5779,-0.1653
307,Sunset Park,a20,scen1,prematuremort,156.3371,-1.6806
308,Crown Heights and Prospect Heights,a20,scen1,prematuremort,248.5306,0
309,South Crown Heights and Lefferts Gardens,a20,scen1,prematuremort,251.6643,0
310,Bay Ridge and Dyker Heights,a20,scen1,prematuremort,147.8424,-0.311
311,Bensonhurst,a20,scen1,prematuremort,181.0679,-3.3387
312,Borough Park,a20,scen1,prematuremort,248.1007,-2.0445
313,Coney Island,a20,scen1,prematuremort,203.4758,-2.5307
314,Flatbush and Midwood,a20,scen1,prematuremort,167.8148,-3.7592
315,Sheepshead Bay,a20,scen1,prematuremort,150.3645,-0.6007
316,Brownsville,a20,scen1,prematuremort,419.4551,-3.3626
317,East Flatbush,a20,scen1,prematuremort,286.9644,-9.5751
318,Flatlands and Canarsie,a20,scen1,prematuremort,240.8911,-3.7123
401,Long Island City and Astoria,a20,scen1,prematuremort,130.6488,-0.9495
402,Woodside and Sunnyside,a20,scen1,prematuremort,72.25916,-1.49039
403,Jackson Heights,a20,scen1,prematuremort,164.4704,-6.6858
404,Elmhurst and Corona,a20,scen1,prematuremort,145.9516,-2.1134
405,Ridgewood and Maspeth,a20,scen1,prematuremort,158.106,-0.4767
406,Rego Park and Forest Hills,a20,scen1,prematuremort,106.3148,0
407,Flushing and Whitestone,a20,scen1,prematuremort,158.3563,-4.4397
408,Hillcrest and Fresh Meadows,a20,scen1,prematuremort,170.2344,-11.0827
409,Kew Gardens and Woodhaven,a20,scen1,prematuremort,124.9944,-5.0192
410,South Ozone Park and Howard Beach,a20,scen1,prematuremort,181.2794,-3.2786
411,Bayside and Little Neck,a20,scen1,prematuremort,89.73347,-0.72255
412,Jamaica and Hollis,a20,scen1,prematuremort,229.8123,-4.0215
413,Queens Village,a20,scen1,prematuremort,207.1398,-4.351
414,Rockaway and Broad Channel,a20,scen1,prematuremort,313.6085,-6.6415
501,St. George and Stapleton,a20,scen1,prematuremort,282.4008,-3.2279
502,South Beach and Willowbrook,a20,scen1,prematuremort,155.9827,-0.1649
503,Tottenville and Great Kills,a20,scen1,prematuremort,162.7137,-0.7467
101,Financial District,a20,scen2,poverty,15.0389,-0.238
102,Greenwich Village and Soho,a20,scen2,poverty,15.0389,-0.238
103,Lower East Side and Chinatown,a20,scen2,poverty,40.3767,-0.92959
104,Clinton and Chelsea,a20,scen2,poverty,17.5968,-0.50361
105,Midtown,a20,scen2,poverty,14.74092,-0.10281
106,Stuyvesant Town and Turtle Bay,a20,scen2,poverty,14.74092,-0.10281
107,Upper West Side,a20,scen2,poverty,18.27027,-0.03622
108,Upper East Side,a20,scen2,poverty,7.6701,0
109,Morningside Heights and Hamilton Heights,a20,scen2,poverty,47.75693,1E-05
110,Central Harlem,a20,scen2,poverty,37.81938,-2.57149
111,East Harlem,a20,scen2,poverty,53.70981,-2.55512
112,Washington Heights and Inwood,a20,scen2,poverty,31.02864,-0.2389
201,Mott Haven and Melrose,a20,scen2,poverty,55.16101,-5.46455
202,Hunts Point and Longwood,a20,scen2,poverty,55.16101,-5.46455
203,Morrisania and Crotona,a20,scen2,poverty,62.41067,-0.29193
204,Highbridge and Concourse,a20,scen2,poverty,51.60893,-1.70218
205,Fordham and University Heights,a20,scen2,poverty,55.8498,-4.45088
206,Belmont and East Tremont,a20,scen2,poverty,62.41067,-0.29193
207,Kingsbridge Heights and Bedford,a20,scen2,poverty,47.52484,-5.49455
208,Riverdale and Fieldston,a20,scen2,poverty,29.79739,-1.43799
209,Parkchester and Soundview,a20,scen2,poverty,55.09739,-0.8012
210,Throgs Neck and Co-op City,a20,scen2,poverty,28.13322,-0.43781
211,Morris Park and Bronxdale,a20,scen2,poverty,34.09114,-0.77766
212,Williamsbridge and Baychester,a20,scen2,poverty,35.38598,-0.43958
301,Greenpoint and Williamsburg,a20,scen2,poverty,28.2047,-0.05115
302,Fort Greene and Brooklyn Heights,a20,scen2,poverty,19.71017,-0.10495
303,Bedford Stuyvesant,a20,scen2,poverty,35.62409,-0.73914
304,Bushwick,a20,scen2,poverty,27.50072,-1.06986
305,East New York and Starrett City,a20,scen2,poverty,40.17918,-0.94038
306,Park Slope and Carroll Gardens,a20,scen2,poverty,15.18009,-0.04696
307,Sunset Park,a20,scen2,poverty,30.13875,-1.28006
308,Crown Heights and Prospect Heights,a20,scen2,poverty,26.66609,-1.41207
309,South Crown Heights and Lefferts Gardens,a20,scen2,poverty,28.40847,-1.24035
310,Bay Ridge and Dyker Heights,a20,scen2,poverty,25.99886,-0.47415
311,Bensonhurst,a20,scen2,poverty,35.99957,-2.33318
312,Borough Park,a20,scen2,poverty,49.97342,-0.58073
313,Coney Island,a20,scen2,poverty,35.43763,-0.7692
314,Flatbush and Midwood,a20,scen2,poverty,25.40464,-2.17491
315,Sheepshead Bay,a20,scen2,poverty,32.66007,-0.17062
316,Brownsville,a20,scen2,poverty,53.34116,-1.25114
317,East Flatbush,a20,scen2,poverty,32.91052,-2.71972
318,Flatlands and Canarsie,a20,scen2,poverty,21.44889,-1.05445
401,Long Island City and Astoria,a20,scen2,poverty,25.38999,-0.2697
402,Woodside and Sunnyside,a20,scen2,poverty,21.22104,-0.67806
403,Jackson Heights,a20,scen2,poverty,36.36517,-2.03275
404,Elmhurst and Corona,a20,scen2,poverty,32.77734,-1.1107
405,Ridgewood and Maspeth,a20,scen2,poverty,21.89546,-0.4103
406,Rego Park and Forest Hills,a20,scen2,poverty,19.20199,-0.06188
407,Flushing and Whitestone,a20,scen2,poverty,35.88044,-1.48213
408,Hillcrest and Fresh Meadows,a20,scen2,poverty,33.71452,-3.85841
409,Kew Gardens and Woodhaven,a20,scen2,poverty,22.33078,-1.63204
410,South Ozone Park and Howard Beach,a20,scen2,poverty,29.99967,-1.1894
411,Bayside and Little Neck,a20,scen2,poverty,17.48379,-0.48642
412,Jamaica and Hollis,a20,scen2,poverty,27.20666,-1.52029
413,Queens Village,a20,scen2,poverty,16.81111,-1.31727
414,Rockaway and Broad Channel,a20,scen2,poverty,38.33627,-2.19406
501,St. George and Stapleton,a20,scen2,poverty,36.57968,-1.57653
502,South Beach and Willowbrook,a20,scen2,poverty,18.28579,-0.04686
503,Tottenville and Great Kills,a20,scen2,poverty,16.99965,-0.21212
101,Financial District,a20,scen2,prematuremort,102.567,-0.8379
102,Greenwich Village and Soho,a20,scen2,prematuremort,102.567,-0.8379
103,Lower East Side and Chinatown,a20,scen2,prematuremort,200.1553,-3.2727
104,Clinton and Chelsea,a20,scen2,prematuremort,84.95309,-1.77301
105,Midtown,a20,scen2,prematuremort,69.67461,-0.36196
106,Stuyvesant Town and Turtle Bay,a20,scen2,prematuremort,69.67461,-0.36196
107,Upper West Side,a20,scen2,prematuremort,142.5762,-0.1275
108,Upper East Side,a20,scen2,prematuremort,98.05856,0
109,Morningside Heights and Hamilton Heights,a20,scen2,prematuremort,244.2478,0.0001
110,Central Harlem,a20,scen2,prematuremort,311.574,-9.0532
111,East Harlem,a20,scen2,prematuremort,342.3572,-8.9956
112,Washington Heights and Inwood,a20,scen2,prematuremort,208.0673,-0.8411
201,Mott Haven and Melrose,a20,scen2,prematuremort,330.2662,-19.2386
202,Hunts Point and Longwood,a20,scen2,prematuremort,330.2662,-19.2386
203,Morrisania and Crotona,a20,scen2,prematuremort,386.049,-1.0277
204,Highbridge and Concourse,a20,scen2,prematuremort,334.8625,-5.9928
205,Fordham and University Heights,a20,scen2,prematuremort,395.3733,-15.6698
206,Belmont and East Tremont,a20,scen2,prematuremort,386.049,-1.0277
207,Kingsbridge Heights and Bedford,a20,scen2,prematuremort,278.5616,-19.3443
208,Riverdale and Fieldston,a20,scen2,prematuremort,218.9087,-5.0626
209,Parkchester and Soundview,a20,scen2,prematuremort,336.7182,-2.8208
210,Throgs Neck and Co-op City,a20,scen2,prematuremort,238.3234,-1.5413
211,Morris Park and Bronxdale,a20,scen2,prematuremort,242.0142,-2.7379
212,Williamsbridge and Baychester,a20,scen2,prematuremort,309.5321,-1.5476
301,Greenpoint and Williamsburg,a20,scen2,prematuremort,147.7515,-0.1801
302,Fort Greene and Brooklyn Heights,a20,scen2,prematuremort,133.3717,-0.3695
303,Bedford Stuyvesant,a20,scen2,prematuremort,274.8027,-2.6022
304,Bushwick,a20,scen2,prematuremort,173.8114,-3.7665
305,East New York and Starrett City,a20,scen2,prematuremort,338.9701,-3.3108
306,Park Slope and Carroll Gardens,a20,scen2,prematuremort,120.5779,-0.1653
307,Sunset Park,a20,scen2,prematuremort,153.511,-4.5067
308,Crown Heights and Prospect Heights,a20,scen2,prematuremort,243.5593,-4.9713
309,South Crown Heights and Lefferts Gardens,a20,scen2,prematuremort,247.2975,-4.3668
310,Bay Ridge and Dyker Heights,a20,scen2,prematuremort,146.4841,-1.6693
311,Bensonhurst,a20,scen2,prematuremort,176.1924,-8.2142
312,Borough Park,a20,scen2,prematuremort,248.1007,-2.0445
313,Coney Island,a20,scen2,prematuremort,203.2984,-2.7081
314,Flatbush and Midwood,a20,scen2,prematuremort,163.9169,-7.6571
315,Sheepshead Bay,a20,scen2,prematuremort,150.3645,-0.6007
316,Brownsville,a20,scen2,prematuremort,418.4129,-4.4048
317,East Flatbush,a20,scen2,prematuremort,286.9644,-9.5751
318,Flatlands and Canarsie,a20,scen2,prematuremort,240.8911,-3.7123
401,Long Island City and Astoria,a20,scen2,prematuremort,130.6488,-0.9495
402,Woodside and Sunnyside,a20,scen2,prematuremort,71.36236,-2.38719
403,Jackson Heights,a20,scen2,prematuremort,163.9997,-7.1565
404,Elmhurst and Corona,a20,scen2,prematuremort,144.1547,-3.9103
405,Ridgewood and Maspeth,a20,scen2,prematuremort,157.1383,-1.4444
406,Rego Park and Forest Hills,a20,scen2,prematuremort,106.0969,-0.2179
407,Flushing and Whitestone,a20,scen2,prematuremort,157.578,-5.218
408,Hillcrest and Fresh Meadows,a20,scen2,prematuremort,167.7331,-13.584
409,Kew Gardens and Woodhaven,a20,scen2,prematuremort,124.2678,-5.7458
410,South Ozone Park and Howard Beach,a20,scen2,prematuremort,180.3706,-4.1874
411,Bayside and Little Neck,a20,scen2,prematuremort,88.74352,-1.7125
412,Jamaica and Hollis,a20,scen2,prematuremort,228.4815,-5.3523
413,Queens Village,a20,scen2,prematuremort,206.8532,-4.6376
414,Rockaway and Broad Channel,a20,scen2,prematuremort,312.5256,-7.7244
501,St. George and Stapleton,a20,scen2,prematuremort,280.0784,-5.5503
502,South Beach and Willowbrook,a20,scen2,prematuremort,155.9827,-0.1649
503,Tottenville and Great Kills,a20,scen2,prematuremort,162.7137,-0.7467
101,Financial District,a20,scen3,poverty,15.25078,-0.02612
102,Greenwich Village and Soho,a20,scen3,poverty,15.25078,-0.02612
103,Lower East Side and Chinatown,a20,scen3,poverty,40.44347,-0.86282
104,Clinton and Chelsea,a20,scen3,poverty,17.5968,-0.50361
105,Midtown,a20,scen3,poverty,14.74092,-0.10281
106,Stuyvesant Town and Turtle Bay,a20,scen3,poverty,14.74092,-0.10281
107,Upper West Side,a20,scen3,poverty,18.46642,0.15993
108,Upper East Side,a20,scen3,poverty,7.75636,0.08626
109,Morningside Heights and Hamilton Heights,a20,scen3,poverty,47.75692,0
110,Central Harlem,a20,scen3,poverty,37.95267,-2.4382
111,East Harlem,a20,scen3,poverty,53.9275,-2.33743
112,Washington Heights and Inwood,a20,scen3,poverty,31.09883,-0.16871
201,Mott Haven and Melrose,a20,scen3,poverty,55.53713,-5.08843
202,Hunts Point and Longwood,a20,scen3,poverty,55.53713,-5.08843
203,Morrisania and Crotona,a20,scen3,poverty,62.7026,0
204,Highbridge and Concourse,a20,scen3,poverty,52.95751,-0.3536
205,Fordham and University Heights,a20,scen3,poverty,58.81211,-1.48857
206,Belmont and East Tremont,a20,scen3,poverty,62.7026,0
207,Kingsbridge Heights and Bedford,a20,scen3,poverty,50.46542,-2.55397
208,Riverdale and Fieldston,a20,scen3,poverty,30.28773,-0.94765
209,Parkchester and Soundview,a20,scen3,poverty,56.00964,0.11105
210,Throgs Neck and Co-op City,a20,scen3,poverty,28.13322,-0.43781
211,Morris Park and Bronxdale,a20,scen3,poverty,34.15857,-0.71023
212,Williamsbridge and Baychester,a20,scen3,poverty,35.5942,-0.23136
301,Greenpoint and Williamsburg,a20,scen3,poverty,28.29551,0.03966
302,Fort Greene and Brooklyn Heights,a20,scen3,poverty,19.9082,0.09308
303,Bedford Stuyvesant,a20,scen3,poverty,35.81145,-0.55178
304,Bushwick,a20,scen3,poverty,27.73303,-0.83755
305,East New York and Starrett City,a20,scen3,poverty,41.8794,0.75984
306,Park Slope and Carroll Gardens,a20,scen3,poverty,15.18009,-0.04696
307,Sunset Park,a20,scen3,poverty,31.04382,-0.37499
308,Crown Heights and Prospect Heights,a20,scen3,poverty,29.0857,1.01E+00
309,South Crown Heights and Lefferts Gardens,a20,scen3,poverty,30.37484,0.72602
310,Bay Ridge and Dyker Heights,a20,scen3,poverty,26.57413,0.10112
311,Bensonhurst,a20,scen3,poverty,37.72064,-0.61211
312,Borough Park,a20,scen3,poverty,50.41919,-0.13496
313,Coney Island,a20,scen3,poverty,35.60508,-0.60175
314,Flatbush and Midwood,a20,scen3,poverty,26.604,-0.97555
315,Sheepshead Bay,a20,scen3,poverty,32.66008,-0.17061
316,Brownsville,a20,scen3,poverty,53.7678,-0.8245
317,East Flatbush,a20,scen3,poverty,34.0838,-1.54644
318,Flatlands and Canarsie,a20,scen3,poverty,21.48141,-1.02193
401,Long Island City and Astoria,a20,scen3,poverty,25.85159,0.1919
402,Woodside and Sunnyside,a20,scen3,poverty,22.2889,0.3898
403,Jackson Heights,a20,scen3,poverty,37.32235,-1.07557
404,Elmhurst and Corona,a20,scen3,poverty,34.27698,0.38894
405,Ridgewood and Maspeth,a20,scen3,poverty,23.05563,0.74987
406,Rego Park and Forest Hills,a20,scen3,poverty,19.26387,0
407,Flushing and Whitestone,a20,scen3,poverty,36.13523,-1.22734
408,Hillcrest and Fresh Meadows,a20,scen3,poverty,35.77615,-1.79678
409,Kew Gardens and Woodhaven,a20,scen3,poverty,23.5815,-0.38132
410,South Ozone Park and Howard Beach,a20,scen3,poverty,30.39178,-0.79729
411,Bayside and Little Neck,a20,scen3,poverty,17.83415,-0.13606
412,Jamaica and Hollis,a20,scen3,poverty,27.85731,-0.86964
413,Queens Village,a20,scen3,poverty,17.2502,-0.87818
414,Rockaway and Broad Channel,a20,scen3,poverty,39.04316,-1.48717
501,St. George and Stapleton,a20,scen3,poverty,37.49867,-0.65754
502,South Beach and Willowbrook,a20,scen3,poverty,18.2858,-0.04685
503,Tottenville and Great Kills,a20,scen3,poverty,16.99965,-0.21212
