SiteName,Operator,starttime,timeofday,Value
Broadway_35th_St,nyccas,2024-04-28T17:00:00,05:00 PM,17.53
Broadway_35th_St,nyccas,2024-04-28T18:00:00,06:00 PM,19.63
Broadway_35th_St,nyccas,2024-04-28T19:00:00,07:00 PM,24.17
Broadway_35th_St,nyccas,2024-04-28T20:00:00,08:00 PM,21.35
Broadway_35th_St,nyccas,2024-04-28T21:00:00,09:00 PM,23.66
Broadway_35th_St,nyccas,2024-04-28T22:00:00,10:00 PM,20.47
Broadway_35th_St,nyccas,2024-04-28T23:00:00,11:00 PM,21.07
Broadway_35th_St,nyccas,2024-04-29T00:00:00,12:00 AM,21.07
Broadway_35th_St,nyccas,2024-04-29T01:00:00,01:00 AM,24.14
Broadway_35th_St,nyccas,2024-04-29T02:00:00,02:00 AM,19.67
Broadway_35th_St,nyccas,2024-04-29T03:00:00,03:00 AM,19.74
Broadway_35th_St,nyccas,2024-04-29T04:00:00,04:00 AM,18.96
Broadway_35th_St,nyccas,2024-04-29T05:00:00,05:00 AM,19.39
Broadway_35th_St,nyccas,2024-04-29T06:00:00,06:00 AM,17.79
Broadway_35th_St,nyccas,2024-04-29T07:00:00,07:00 AM,17.92
Broadway_35th_St,nyccas,2024-04-29T08:00:00,08:00 AM,21.78
Broadway_35th_St,nyccas,2024-04-29T09:00:00,09:00 AM,21.36
Broadway_35th_St,nyccas,2024-04-29T10:00:00,10:00 AM,18.98
Broadway_35th_St,nyccas,2024-04-29T11:00:00,11:00 AM,22.15
Broadway_35th_St,nyccas,2024-04-29T12:00:00,12:00 PM,21.22
Broadway_35th_St,nyccas,2024-04-29T13:00:00,01:00 PM,26.88
Broadway_35th_St,nyccas,2024-04-29T14:00:00,02:00 PM,26.45
Broadway_35th_St,nyccas,2024-04-29T15:00:00,03:00 PM,26.09
Broadway_35th_St,nyccas,2024-04-29T16:00:00,04:00 PM,23.26
Broadway_35th_St,nyccas,2024-04-29T17:00:00,05:00 PM,25.27
Broadway_35th_St,nyccas,2024-04-29T18:00:00,06:00 PM,24.8
Broadway_35th_St,nyccas,2024-04-29T19:00:00,07:00 PM,25.44
Broadway_35th_St,nyccas,2024-04-29T20:00:00,08:00 PM,27.04
Broadway_35th_St,nyccas,2024-04-29T21:00:00,09:00 PM,28.35
Broadway_35th_St,nyccas,2024-04-29T22:00:00,10:00 PM,29.78
Broadway_35th_St,nyccas,2024-04-29T23:00:00,11:00 PM,30.89
Broadway_35th_St,nyccas,2024-04-30T00:00:00,12:00 AM,30.39
Broadway_35th_St,nyccas,2024-04-30T01:00:00,01:00 AM,31.14
Broadway_35th_St,nyccas,2024-04-30T02:00:00,02:00 AM,31.56
Broadway_35th_St,nyccas,2024-04-30T03:00:00,03:00 AM,25.44
Broadway_35th_St,nyccas,2024-04-30T04:00:00,04:00 AM,23.04
Broadway_35th_St,nyccas,2024-04-30T05:00:00,05:00 AM,19.63
Broadway_35th_St,nyccas,2024-04-30T06:00:00,06:00 AM,17.9
Broadway_35th_St,nyccas,2024-04-30T07:00:00,07:00 AM,16.74
Broadway_35th_St,nyccas,2024-04-30T08:00:00,08:00 AM,18.04
Broadway_35th_St,nyccas,2024-04-30T09:00:00,09:00 AM,18.68
Broadway_35th_St,nyccas,2024-04-30T10:00:00,10:00 AM,22.1
Broadway_35th_St,nyccas,2024-04-30T11:00:00,11:00 AM,22.58
Broadway_35th_St,nyccas,2024-04-30T12:00:00,12:00 PM,21.39
Broadway_35th_St,nyccas,2024-04-30T13:00:00,01:00 PM,19.82
Broadway_35th_St,nyccas,2024-04-30T14:00:00,02:00 PM,20.11
Broadway_35th_St,nyccas,2024-04-30T15:00:00,03:00 PM,17.22
Broadway_35th_St,nyccas,2024-04-30T16:00:00,04:00 PM,15.36
Broadway_35th_St,nyccas,2024-04-30T17:00:00,05:00 PM,14.72
Broadway_35th_St,nyccas,2024-04-30T18:00:00,06:00 PM,15
Broadway_35th_St,nyccas,2024-04-30T19:00:00,07:00 PM,15.13
Broadway_35th_St,nyccas,2024-04-30T20:00:00,08:00 PM,12.36
Broadway_35th_St,nyccas,2024-04-30T21:00:00,09:00 PM,12.59
Broadway_35th_St,nyccas,2024-04-30T22:00:00,10:00 PM,12.38
Broadway_35th_St,nyccas,2024-04-30T23:00:00,11:00 PM,11.53
Broadway_35th_St,nyccas,2024-05-01T00:00:00,12:00 AM,11.57
Broadway_35th_St,nyccas,2024-05-01T01:00:00,01:00 AM,11.4
Broadway_35th_St,nyccas,2024-05-01T02:00:00,02:00 AM,11.91
Broadway_35th_St,nyccas,2024-05-01T03:00:00,03:00 AM,11.69
Broadway_35th_St,nyccas,2024-05-01T04:00:00,04:00 AM,11.37
Broadway_35th_St,nyccas,2024-05-01T05:00:00,05:00 AM,12.17
Broadway_35th_St,nyccas,2024-05-01T06:00:00,06:00 AM,14.23
Broadway_35th_St,nyccas,2024-05-01T07:00:00,07:00 AM,15.47
Broadway_35th_St,nyccas,2024-05-01T08:00:00,08:00 AM,20.37
Broadway_35th_St,nyccas,2024-05-01T09:00:00,09:00 AM,27.72
