Location,loc_col,Latitude,Longitude,Color
Queensboro Bridge,Queensboro_Bridge,40.761234,-73.963886,green
Hunt's Point,Hunts_Point,40.819009,-73.886198,#beaed4
Queens College,Queens_College,40.737107,-73.821556,orange
Williamsburg Bridge,Williamsburg_Bridge,40.71807,-73.9861,#386cb0
Broadway/35th St,Broadway_35th_St,40.75069,-73.9878,#f0027f
Manhattan Bridge,Manhattan_Bridge,40.71651,-73.997004,#3084b0
Cross Bronx Expwy,Cross_Bronx_Expy,40.845167,-73.906143,#d14b05
Glendale,Glendale,40.70711,-73.8734,red
Midtown-West,Midtown_DOT,40.755082,-73.990415,#6a3d9a
FDR,FDR,40.722288,-73.974651,#6a3518
Mott Haven,Mott_Haven,40.806486,-73.922487,darkblue
Van Wyck,Van_Wyck,40.690155,-73.80908, #db8514
Hamilton Bridge,Hamilton_Bridge,40.846544,-73.933023,#8c510a
BQE,BQE,40.702798,-73.960824,#35978f
SI Expwy,SI_Expwy,40.609209,-74.151182,#9970ab
Port Richmond,Port_Richmond,40.627925,-74.145883,#B8860B
