	Inspections	First comp	First comp	Second Comp	Second comp	Third comp	Third comp	Fourth+ Comp	Fourth+ Comp
Jul-Dec 2024	2621	1953	75%	375	14%	155	6%	138	5%
Jan-Jun 2025	2372	1357	57%	533	23%	245	10%	237	10%
