	Inspections	First comp	First comp	Second Comp	Second comp	Third comp	Third comp	Fourth+ Comp	Fourth+ Comp
Jul-Dec 2024	3524	2750	78%	517	15%	177	5%	80	2%
Jan-Jun 2025	3448	1896	55%	879	25	410	12	263	8%
