	Parks Inspected	Failed (#)	Failed (%)
Jan-Jun 2023	63	49	78
Jul-Dec 2023	66	65	98
Jan-Jun 2024	66	59	89
Jul-Dec 2024	71	62	88
Jan-Jun 2025	71	60	85
