RMZ	Total lots	Total NYCHA Developments	Total NYC Parks	Total NYCPS Schools
Bronx Grand Concourse	8,283	17	69	59
Brooklyn Bed Stuy and Bushwick	14,492	10	30	31
Manhattan Harlem	9,838	28	71	64
Manhattan East Village and Chinatown	4,381	24	40	30
Total	36,994	79	210	184
