	Inspections	First comp	First comp	Second Comp	Second comp	Third comp	Third comp	Fourth+ Comp	Fourth+ Comp
Jul-Dec 2024	3975	2964	75%	454	11%	297	7%	260	7%
Jan-Jun 2025	3816	2326	61%	601	16%	376	10%	513	13%
