	Parks Inspected	Failed (#)	Failed (%)
Jan-Jun 2023	54	36	67
Jul-Dec 2023	59	55	93
Jan-Jun 2024	59	52	52
Jul-Dec 2024	69	56	56
Jan-Jun 2025	69	54	54
