Jan-Jun 2023	11,429	2,858	-25%
Jul-Dec 2023	11,430	2,501	-22%
Jan-Jun 2024	11,557	2,418	-21%
Jul-Dec 2024	10,627	2,227	-21%
Jan-Jun 2025	9,916	1,406	-14%
