NTACODE,BORO,BoroCode,NTA_NAME,TotalPM,PM_tertiles,TotalNOx,NOx_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
BX0202,Bronx,2,Longwood,0.646533076,Low,15.09567807,Low,Medium,Medium,High,Low
BX0291,Bronx,2,North & South Brother Islands,0,Low,0,Low,Low,Low,High,Low
BX0301,Bronx,2,Morrisania,0.664576646,Low,15.22727641,Low,Medium,Medium,High,Low
BX0302,Bronx,2,Claremont Village-Claremont (East),1.434143372,Low,28.46858821,Low,Low,Medium,High,Medium
BX0303,Bronx,2,Crotona Park East,1.498694433,Low,31.20244474,Low,Medium,Medium,High,Medium
BX0391,Bronx,2,Crotona Park,0.11613395,Low,2.723764149,Low,Low,Low,Low,Low
BX0401,Bronx,2,Concourse-Concourse Village,3.324542147,Medium,66.59059054,High,Medium,High,High,Medium
BX0402,Bronx,2,Highbridge,3.868576147,High,74.47054335,High,Low,Medium,Medium,High
BX0403,Bronx,2,Mount Eden-Claremont (West),2.582083207,Medium,50.50019254,Medium,Low,High,Medium,High
BX0491,Bronx,2,Yankee Stadium-Macombs Dam Park,0.193944464,Low,4.130376304,Low,Low,Low,Low,Medium
BX0492,Bronx,2,Claremont Park,0.031444521,Low,0.697525914,Low,Low,Low,Low,Low
BX0501,Bronx,2,University Heights (South)-Morris Heights,5.431038536,High,105.771648,High,Low,High,Medium,High
BX0502,Bronx,2,Mount Hope,2.461262687,Medium,48.68322347,Medium,Low,High,Medium,High
BX0503,Bronx,2,Fordham Heights,0.353577842,Low,7.469344682,Low,Medium,Medium,Medium,Low
BX0601,Bronx,2,West Farms,3.840742395,High,75.18204043,High,Low,Medium,Medium,High
BX0602,Bronx,2,Tremont,3.201061413,Medium,62.5799831,Medium,Medium,Medium,Medium,High
BX0603,Bronx,2,Belmont,1.043341098,Low,20.79317796,Low,High,Medium,Medium,Medium
BX0701,Bronx,2,University Heights (North)-Fordham,4.372840865,High,84.59503971,High,Medium,High,Medium,High
BX0702,Bronx,2,Bedford Park,1.135850439,Low,27.15217879,Low,Medium,High,Medium,Low
BX0703,Bronx,2,Norwood,1.315735184,Low,28.80545249,Low,Medium,High,Medium,Medium
BX0801,Bronx,2,Kingsbridge Heights-Van Cortlandt Village,2.500781337,Medium,49.24537998,Medium,Low,Medium,Medium,High
BX0802,Bronx,2,Kingsbridge-Marble Hill,1.926646975,Medium,37.36693222,Medium,Medium,Medium,Medium,High
BX0803,Bronx,2,Riverdale-Spuyten Duyvil,3.02563366,Medium,62.62495002,Medium,High,High,Low,Medium
BX0901,Bronx,2,Soundview-Bruckner-Bronx River,4.594130454,High,89.69564793,High,High,High,High,High
BX0902,Bronx,2,Soundview-Clason Point,1.801526156,Medium,36.97323196,Medium,Low,Medium,Medium,Medium
BX0903,Bronx,2,Castle Hill-Unionport,6.579625905,High,127.4056923,High,Medium,Medium,High,High
BX0904,Bronx,2,Parkchester,0.760240194,Low,15.78062272,Low,Medium,High,Medium,Medium
BX0991,Bronx,2,Soundview Park,0.280044117,Low,5.481242096,Low,Low,Low,Low,Low
BX1001,Bronx,2,Westchester Square,0.560738892,Low,11.63714513,Low,Medium,Low,High,Low
BX1002,Bronx,2,Throgs Neck-Schuylerville,8.552063789,High,165.2064712,High,Medium,Medium,High,Medium
BX1003,Bronx,2,Pelham Bay-Country Club-City Island,2.312967503,Medium,44.89016141,Medium,Medium,Medium,Medium,Low
