Site,pollutant,estimate,lower,upper,Estimate (95% CI)
SI Expwy,BC,-0.03859452,-0.201544811,0.12435577,"-0.04 (-0.20, 0.12)"
CRZ,BC,-0.035489014,-0.210589478,0.13961145,"-0.04 (-0.21, 0.14)"
FDR,BC,-0.025194977,-0.203569809,0.153179856,"-0.03 (-0.20, 0.15)"
Rest of City,BC,-0.021940833,-0.185937222,0.142055556,"-0.02 (-0.19, 0.14)"
Cross Bronx,BC,-0.01386839,-0.201296205,0.173559425,"-0.01 (-0.20, 0.17)"
Deegan,BC,0.011531595,-0.189722747,0.212785936,"0.01 (-0.19, 0.21)"
BQE,BC,0.013218036,-0.19899622,0.225432292,"0.01 (-0.20, 0.23)"
Trans-Manhattan,BC,0.025663906,-0.166638708,0.21796652,"0.03 (-0.17, 0.22)"
SI Expwy,NO,-1.15173038,-4.394847081,2.091386322,"-1.15 (-4.39, 2.09)"
CRZ,NO,-0.168393285,-3.701793123,3.365006553,"-0.17 (-3.70, 3.37)"
Rest of City,NO,2.034224449,-0.92744818,4.995897078,"2.03 (-0.93, 5.00)"
FDR,NO,2.131246301,-1.557879609,5.820372211,"2.13 (-1.56, 5.82)"
Cross Bronx,NO,2.334446104,-1.589804616,6.258696825,"2.33 (-1.59, 6.26)"
Trans-Manhattan,NO,2.653779702,-2.853896074,8.161455478,"2.65 (-2.85, 8.16)"
Deegan,NO,3.480357867,-0.736596689,7.697312422,"3.48 (-0.74, 7.70)"
BQE,NO,4.082788288,0.213212147,7.952364429,"4.08 (0.21, 7.95)"
SI Expwy,NO2,-1.452561695,-4.302945635,1.397822246,"-1.45 (-4.30, 1.40)"
Deegan,NO2,-1.039149474,-5.23914584,3.160846893,"-1.04 (-5.24, 3.16)"
CRZ,NO2,-0.658290924,-4.853121031,3.536539184,"-0.66 (-4.85, 3.54)"
Rest of City,NO2,-0.549484007,-3.509913483,2.410945468,"-0.55 (-3.51, 2.41)"
Cross Bronx,NO2,-0.100669051,-3.950792722,3.749454619,"-0.10 (-3.95, 3.75)"
FDR,NO2,0.074586979,-3.676664675,3.825838632,"0.07 (-3.68, 3.83)"
Trans-Manhattan,NO2,1.103825965,-3.028192682,5.235844612,"1.10 (-3.03, 5.24)"
BQE,NO2,1.187376123,-2.595632182,4.970384428,"1.19 (-2.60, 4.97)"
Trans-Manhattan,PM25,-1.235376255,-4.092288181,1.621535671,"-1.24 (-4.09, 1.62)"
BQE,PM25,-0.623635174,-3.472827458,2.22555711,"-0.62 (-3.47, 2.23)"
CRZ,PM25,-0.29208954,-3.005653433,2.421474352,"-0.29 (-3.01, 2.42)"
Rest of City,PM25,-0.250191343,-2.980094019,2.479711334,"-0.25 (-2.98, 2.48)"
FDR,PM25,0.050598036,-2.645878187,2.747074258,"0.05 (-2.65, 2.75)"
Cross Bronx,PM25,0.105262429,-2.676849144,2.887374002,"0.11 (-2.68, 2.89)"
SI Expwy,PM25,0.292645574,-2.501147668,3.086438816,"0.29 (-2.50, 3.09)"
Deegan,PM25,0.593658083,-2.238484255,3.425800421,"0.59 (-2.24, 3.43)"
