Time,Site,TOD,Measure,Value,Units
Pre,BQE,Evening rush,PM2.5,5.096839,µg/m³
Pre,BQE,Midday,PM2.5,5.119871,µg/m³
Pre,BQE,Morning rush,PM2.5,5.213895,µg/m³
Pre,BQE,Overnight,PM2.5,5.920125,µg/m³
Post,BQE,Evening rush,PM2.5,5.03642,µg/m³
Post,BQE,Midday,PM2.5,4.988196,µg/m³
Post,BQE,Morning rush,PM2.5,5.487614,µg/m³
Post,BQE,Overnight,PM2.5,5.569267,µg/m³
Pre,Cross Bronx,Evening rush,PM2.5,9.608575,µg/m³
Pre,Cross Bronx,Midday,PM2.5,9.055835,µg/m³
Pre,Cross Bronx,Morning rush,PM2.5,9.800363,µg/m³
Pre,Cross Bronx,Overnight,PM2.5,9.756316,µg/m³
Post,Cross Bronx,Evening rush,PM2.5,9.680052,µg/m³
Post,Cross Bronx,Midday,PM2.5,8.764175,µg/m³
Post,Cross Bronx,Morning rush,PM2.5,8.917199,µg/m³
Post,Cross Bronx,Overnight,PM2.5,8.989738,µg/m³
Pre,FDR,Evening rush,PM2.5,7.026848,µg/m³
Pre,FDR,Midday,PM2.5,7.180136,µg/m³
Pre,FDR,Morning rush,PM2.5,7.789939,µg/m³
Pre,FDR,Overnight,PM2.5,7.786702,µg/m³
Post,FDR,Evening rush,PM2.5,6.060536,µg/m³
Post,FDR,Midday,PM2.5,5.87923,µg/m³
Post,FDR,Morning rush,PM2.5,7.419408,µg/m³
Post,FDR,Overnight,PM2.5,7.243236,µg/m³
Pre,Trans-Manhattan,Evening rush,PM2.5,6.752067,µg/m³
Pre,Trans-Manhattan,Midday,PM2.5,6.526514,µg/m³
Pre,Trans-Manhattan,Morning rush,PM2.5,7.208702,µg/m³
Pre,Trans-Manhattan,Overnight,PM2.5,6.916206,µg/m³
Post,Trans-Manhattan,Evening rush,PM2.5,8.834953,µg/m³
Post,Trans-Manhattan,Midday,PM2.5,9.155245,µg/m³
Post,Trans-Manhattan,Morning rush,PM2.5,9.087897,µg/m³
Post,Trans-Manhattan,Overnight,PM2.5,9.204984,µg/m³
Pre,Deegan,Evening rush,PM2.5,7.459444,µg/m³
Pre,Deegan,Midday,PM2.5,7.101932,µg/m³
Pre,Deegan,Morning rush,PM2.5,8.063882,µg/m³
Pre,Deegan,Overnight,PM2.5,7.957334,µg/m³
Post,Deegan,Evening rush,PM2.5,7.271723,µg/m³
Post,Deegan,Midday,PM2.5,7.073213,µg/m³
Post,Deegan,Morning rush,PM2.5,7.371525,µg/m³
Post,Deegan,Overnight,PM2.5,7.632364,µg/m³
Pre,SI Expwy,Evening rush,PM2.5,6.710538,µg/m³
Pre,SI Expwy,Midday,PM2.5,6.135404,µg/m³
Pre,SI Expwy,Morning rush,PM2.5,5.692923,µg/m³
Pre,SI Expwy,Overnight,PM2.5,7.395821,µg/m³
Post,SI Expwy,Evening rush,PM2.5,6.522966,µg/m³
Post,SI Expwy,Midday,PM2.5,6.123678,µg/m³
Post,SI Expwy,Morning rush,PM2.5,6.054672,µg/m³
Post,SI Expwy,Overnight,PM2.5,7.028706,µg/m³
Pre,Van Wyck,Evening rush,PM2.5,6.522966,µg/m³
Pre,Van Wyck,Midday,PM2.5,6.123678,µg/m³
Pre,Van Wyck,Morning rush,PM2.5,6.054672,µg/m³
Pre,Van Wyck,Overnight,PM2.5,7.028706,µg/m³
Post,Van Wyck,Evening rush,PM2.5,5.745044,µg/m³
Post,Van Wyck,Midday,PM2.5,5.745044,µg/m³
Post,Van Wyck,Morning rush,PM2.5,6.234855,µg/m³
Post,Van Wyck,Overnight,PM2.5,6.702117,µg/m³
Pre,BQE,Evening rush,Traffic,6897.5,vehicles per hour
Pre,BQE,Midday,Traffic,7131.563,vehicles per hour
