pred_type,time,pollutant,UC,LC,average,Site,Unit
predicted,Post,NO,10.03,8.4,9.21,FDR,ppb
counterfactual,Pre,PM2.5,,,7.97,Deegan,mcg/m3
counterfactual,Post,PM2.5,,,7.27,Deegan,mcg/m3
predicted,Pre,PM2.5,8.66,7.27,7.97,Deegan,mcg/m3
predicted,Post,PM2.5,8.49,7.24,7.86,Deegan,mcg/m3
counterfactual,Pre,PM2.5,,,8.2,Trans-Manhattan,mcg/m3
counterfactual,Post,PM2.5,,,9.13,Trans-Manhattan,mcg/m3
predicted,Pre,PM2.5,8.9,7.5,8.2,Trans-Manhattan,mcg/m3
predicted,Post,PM2.5,8.53,7.26,7.89,Trans-Manhattan,mcg/m3
counterfactual,Pre,PM2.5,,,7.49,Cross Bronx,mcg/m3
counterfactual,Post,PM2.5,,,7.6,Cross Bronx,mcg/m3
predicted,Pre,PM2.5,8.17,6.81,7.49,Cross Bronx,mcg/m3
predicted,Post,PM2.5,8.32,7.09,7.71,Cross Bronx,mcg/m3
counterfactual,Pre,PM2.5,,,6.25,SI Expwy,mcg/m3
counterfactual,Post,PM2.5,,,6.2,SI Expwy,mcg/m3
predicted,Pre,PM2.5,6.94,5.57,6.25,SI Expwy,mcg/m3
predicted,Post,PM2.5,7.11,5.88,6.5,SI Expwy,mcg/m3
counterfactual,Pre,PM2.5,,,6.65,BQE,mcg/m3
counterfactual,Post,PM2.5,,,7.28,BQE,mcg/m3
predicted,Pre,PM2.5,7.35,5.95,6.65,BQE,mcg/m3
predicted,Post,PM2.5,7.28,6.02,6.65,BQE,mcg/m3
counterfactual,Pre,PM2.5,,,6.73,FDR,mcg/m3
counterfactual,Post,PM2.5,,,6.79,FDR,mcg/m3
predicted,Pre,PM2.5,7.39,6.07,6.73,FDR,mcg/m3
predicted,Post,PM2.5,7.44,6.24,6.84,FDR,mcg/m3
counterfactual,Pre,BC,,,0.54,Rest of the City,mcg/m3
counterfactual,Post,BC,,,0.46,Rest of the City,mcg/m3
predicted,Pre,BC,0.58,0.5,0.54,Rest of the City,mcg/m3
predicted,Post,BC,0.48,0.41,0.44,Rest of the City,mcg/m3
counterfactual,Pre,NO2,,,16.42,Rest of the City,ppb
counterfactual,Post,NO2,,,16.82,Rest of the City,ppb
predicted,Pre,NO2,17.1,15.74,16.42,Rest of the City,ppb
predicted,Post,NO2,16.91,15.64,16.28,Rest of the City,ppb
counterfactual,Pre,NO,,,11.73,Rest of the City,ppb
counterfactual,Post,NO,,,8.66,Rest of the City,ppb
predicted,Pre,NO,12.41,11.05,11.73,Rest of the City,ppb
predicted,Post,NO,11.33,10.05,10.69,Rest of the City,ppb
counterfactual,Pre,PM2.5,,,6.93,Rest of the City,mcg/m3
counterfactual,Post,PM2.5,,,7.05,Rest of the City,mcg/m3
predicted,Pre,PM2.5,7.6,6.26,6.93,Rest of the City,mcg/m3
predicted,Post,PM2.5,7.4,6.19,6.79,Rest of the City,mcg/m3
counterfactual,Pre,BC,,,0.82,CRZ,mcg/m3
counterfactual,Post,BC,,,0.72,CRZ,mcg/m3
predicted,Pre,BC,0.86,0.78,0.82,CRZ,mcg/m3
predicted,Post,BC,0.72,0.65,0.69,CRZ,mcg/m3
counterfactual,Pre,NO2,,,23.08,CRZ,ppb
counterfactual,Post,NO2,,,23.41,CRZ,ppb
predicted,Pre,NO2,24.11,22.05,23.08,CRZ,ppb
predicted,Post,NO2,23.69,21.83,22.76,CRZ,ppb
counterfactual,Pre,NO,,,18.05,CRZ,ppb
counterfactual,Post,NO,,,16.49,CRZ,ppb
predicted,Pre,NO,18.87,17.24,18.05,CRZ,ppb
predicted,Post,NO,17.09,15.56,16.32,CRZ,ppb
counterfactual,Pre,PM2.5,,,9.55,CRZ,mcg/m3
counterfactual,Post,PM2.5,,,9.73,CRZ,mcg/m3
predicted,Pre,PM2.5,10.21,8.88,9.55,CRZ,mcg/m3
predicted,Post,PM2.5,10.04,8.84,9.44,CRZ,mcg/m3
predicted,Post,BC,0.4,0.33,0.36,Van Wyck,mcg/m3
predicted,Post,NO,9.59,8.06,8.83,Van Wyck,ppb
predicted,Post,NO2,16.87,15.23,16.05,Van Wyck,ppb
predicted,Post,PM2.5,6.44,5.22,5.83,Van Wyck,mcg/m3
predicted,Pre,BC,0.49,0.41,0.45,Van Wyck,mcg/m3
predicted,Pre,NO,10.93,9.24,10.08,Van Wyck,ppb
predicted,Pre,NO2,16.95,15.14,16.04,Van Wyck,ppb
predicted,Pre,PM2.5,6.64,5.28,5.96,Van Wyck,mcg/m3
