Jan-Jun 2023	2832	1888	67%
Jul-Dec 2023	4778	3073	64%
Jan-Jun 2024	4464	3133	70%
Jul-Dec 2024	3975	2568	65%
Jan-Jun 2025	3816	2554	67%
Jul-Dec 2025	3257	2049	63%
Jan-Jun 2026	2583	1633	63%
