	Parks Inspected	Failed (#)	Failed (%)
Jan-Jun 2023	28	16	57
Jul-Dec 2023	30	28	93
Jan-Jun 2024	30	27	90
Jul-Dec 2024	30	23	77
Jan-Jun 2025	30	22	73
Jul-Dec 2025	30	22	73
Jan-Jun 2026	30	20	67
