Period	Initial inspections	COTA (#)	COTA (%)
Jan-Jun 2023	5305	779	15%
Jul-Dec 2023	5123	783	15%
Jan-Jun 2024	4943	573	12%
Jul-Dec 2024	4616	665	14%
Jan-Jun 2025	4716	667	14%
Jul-Dec 2025	4568	595	13%
Jan-Jun 2026	4637	554	12%
