Period	Initial inspections	City agency referrals (#)	City agency referrals (%)
Jan-Jun 2023	15531	349	2
Jul-Dec 2023	15533	375	2
Jan-Jun 2024	15522	379	2
Jul-Dec 2024	14623	245	2
Jan-Jun 2025	13900	243	2
Jul-Dec 2025	14659	221	2
Jan-Jun 2026	14569	214	1
