	Bronx Grand Concourse	Brooklyn Bed Stuy & Bushwick	Manhattan Harlem	Manhattan East Village & Chinatown	Totals
Jan-Jun 2023	2106	3003	4176	1195	10480
Jul-Dec 2023	3003	4428	3804	553	11788
Jan-Jun 2024	2099	4625	3059	1087	10870
Jul-Dec 2024	2319	3434	1716	887	8356
Jan-Jun 2025	2561	3304	2902	937	9704
Jul-Dec 2025	2308	1631	2519	363	6821
Jan-Jun 2026	2154	1427	2658	680	6919
