Period	Initial inspections	COTA (#)	COTA (%)
Jan-Jun 2023	9975	2627	26%
Jul-Dec 2023	9758	2561	26%
Jan-Jun 2024	9681	2862	30%
Jul-Dec 2024	8995	2905	32%
Jan-Jun 2025	8048	2076	26%
Jul-Dec 2025	8299	1917	23%
Jan-Jun 2026	8593	2091	24%
