Period	Inspections	First comp (#)	First comp (%)	Second comp (#)	Second comp (%)	Third comp (#)	Third comp (%)	Fourth+ comp (#)	Fourth+ comp (%)
Jul-Dec 2024	2621	1950	73%	375	14%	158	6%	138	5%
Jan-Jun 2025	2372	1350	57%	539	23%	246	10%	237	10%
Jul-Dec 2025	2119	1592	75%	198	9%	152	7%	177	8%
Jan-Jun 2026	1962	1527	78%	227	12%	92	5%	116	6%
