Period	Initial inspections	City agency referrals (#)	City agency referrals (%)
Jan-Jun 2023	42240	2519	6
Jul-Dec 2023	41844	2413	6
Jan-Jun 2024	41703	2358	6
Jul-Dec 2024	38861	1376	4
Jan-Jun 2025	36580	1243	3
Jul-Dec 2025	37789	1361	4
Jan-Jun 2026	38267	1228	3
