Period	Inspections	First comp (#)	First comp (%)	Second comp (#)	Second comp (%)	Third comp (#)	Third comp (%)	Fourth+ comp (#)	Fourth+ comp (%)
Jul-Dec 2024	3975	2963	75%	455	11%	297	7%	260	7%
Jan-Jun 2025	3816	2321	61%	602	16%	378	10%	515	13%
Jul-Dec 2025	3257	2681	82%	193	6%	155	5%	228	7%
Jan-Jun 2026	2583	2168	84%	187	7%	84	3%	144	6%
