Period	Initial inspections	COTA (#)	COTA (%)
Jan-Jun 2023	11429	2858	25%
Jul-Dec 2023	11430	2501	22%
Jan-Jun 2024	11557	2418	21%
Jul-Dec 2024	10627	2227	21%
Jan-Jun 2025	9916	1406	14%
Jul-Dec 2025	10263	1586	15%
Jan-Jun 2026	10468	1613	15%
