	Inspections	First comp	First comp	Second Comp	Second comp	Third comp	Third comp	Fourth+ Comp	Fourth+ Comp
Jul-Dec 2024	919	696	76%	129	14%	49	5%	45	5%
Jan-Jun 2025	904	688	76%	125	14%	53	6%	38	4%
Jul-Dec 2025	741	613	83%	78	11%	20	3%	30	4%
Jan-Jun 2026	729	589	81%	93	13%	28	4%	19	3%
