GEOCODE,VARIABLE,VALUE,NAME,BORO
4006,Cockroaches,34,N.Crown Heights/Pros.Heights,Brooklyn
4007,Cockroaches,49,Brownsville/Ocean Hill,Brooklyn
4008,Cockroaches,30,East New York/Starret City,Brooklyn
4009,Cockroaches,25,Flatlands/Canarsie,Brooklyn
4010,Cockroaches,38,East Flatbush,Brooklyn
4011,Cockroaches,38,South Crown Heights,Brooklyn
4012,Cockroaches,33,Sunset Park,Brooklyn
4013,Cockroaches,22,Bay Ridge,Brooklyn
4014,Cockroaches,26,Borough Park,Brooklyn
4015,Cockroaches,24,Flatbush,Brooklyn
4016,Cockroaches,19,Sheepshead Bay/Gravesend,Brooklyn
4017,Cockroaches,17,Bensonhurst,Brooklyn
4018,Cockroaches,18,Coney Island,Brooklyn
4101,Cockroaches,13,Astoria,Queens
4102,Cockroaches,37,Jackson Heights,Queens
4103,Cockroaches,21,Flushing/Whitestone,Queens
4104,Cockroaches,8,Bayside/Little Neck,Queens
4105,Cockroaches,8,Bellerose/Rosedale,Queens
4106,Cockroaches,23,Hillcrest/Fresh Meadows,Queens
4107,Cockroaches,48,Elmhurst/Corona,Queens
4108,Cockroaches,13,Forest Hills/Rego Park,Queens
4109,Cockroaches,28,Sunnyside/Woodside,Queens
4110,Cockroaches,9,Middle Village/Ridgewood,Queens
4111,Cockroaches,15,Kew Gardens/Woodhaven,Queens
4112,Cockroaches,20,Jamaica,Queens
4113,Cockroaches,10,Howard Beach/S.Ozone Park,Queens
4114,Cockroaches,25,Rockaways,Queens
3701,No healthy housing problems,41,Riverdale/Kingsbridge,Bronx
3702,No healthy housing problems,31,Williamsbridge/Baychester,Bronx
3703,No healthy housing problems,68,Throgs Neck/Co-op City,Bronx
3704,No healthy housing problems,37,Pelham Parkway,Bronx
3705,No healthy housing problems,24,Morrisania/East Tremont,Bronx
3706,No healthy housing problems,23,Kings.Heights/Mosholu,Bronx
3707,No healthy housing problems,16,Univ.Heights/Fordham,Bronx
3708,No healthy housing problems,24,Highbridge/S.Concourse,Bronx
3709,No healthy housing problems,32,Soundview/Parkchester,Bronx
3710,No healthy housing problems,25,Mott Haven/Hunts Point,Bronx
3801,No healthy housing problems,31,Washington Heights/Inwood,Manhattan
3802,No healthy housing problems,28,Morning.Heights/Hamilton Heights,Manhattan
3803,No healthy housing problems,34,Central Harlem,Manhattan
3804,No healthy housing problems,33,East Harlem,Manhattan
3805,No healthy housing problems,59,Upper East Side,Manhattan
3806,No healthy housing problems,50,Upper West Side,Manhattan
3807,No healthy housing problems,68,Chealsea/Clinton/Midtown,Manhattan
3808,No healthy housing problems,65,Stuy.Town/Turtle Bay,Manhattan
3809,No healthy housing problems,26,L.East Side/Chinatown,Manhattan
3810,No healthy housing problems,58,Green.Village/Fin.District,Manhattan
3901,No healthy housing problems,82,South Shore,Staten Island
3902,No healthy housing problems,84,Mid Island,Staten Island
3903,No healthy housing problems,63,North Shore,Staten Island
4001,No healthy housing problems,43,Williamsburg/Greenpoint,Brooklyn
4002,No healthy housing problems,33,Bushwick,Brooklyn
4003,No healthy housing problems,26,Bedford Stuyvesant,Brooklyn
4004,No healthy housing problems,41,Brooklyn Heights/Fort Greene,Brooklyn
4005,No healthy housing problems,44,Park Slope/Carroll Gardens,Brooklyn
4006,No healthy housing problems,25,N.Crown Heights/Pros.Heights,Brooklyn
4007,No healthy housing problems,27,Brownsville/Ocean Hill,Brooklyn
4008,No healthy housing problems,36,East New York/Starret City,Brooklyn
4009,No healthy housing problems,47,Flatlands/Canarsie,Brooklyn
4010,No healthy housing problems,33,East Flatbush,Brooklyn
4011,No healthy housing problems,28,South Crown Heights,Brooklyn
4012,No healthy housing problems,44,Sunset Park,Brooklyn
4013,No healthy housing problems,59,Bay Ridge,Brooklyn
4014,No healthy housing problems,51,Borough Park,Brooklyn
4015,No healthy housing problems,45,Flatbush,Brooklyn
4016,No healthy housing problems,60,Sheepshead Bay/Gravesend,Brooklyn
4017,No healthy housing problems,57,Bensonhurst,Brooklyn
4018,No healthy housing problems,53,Coney Island,Brooklyn
4101,No healthy housing problems,47,Astoria,Queens
4102,No healthy housing problems,36,Jackson Heights,Queens
4103,No healthy housing problems,57,Flushing/Whitestone,Queens
4104,No healthy housing problems,67,Bayside/Little Neck,Queens
4105,No healthy housing problems,53,Bellerose/Rosedale,Queens
4106,No healthy housing problems,53,Hillcrest/Fresh Meadows,Queens
4107,No healthy housing problems,37,Elmhurst/Corona,Queens
4108,No healthy housing problems,58,Forest Hills/Rego Park,Queens
4109,No healthy housing problems,45,Sunnyside/Woodside,Queens
4110,No healthy housing problems,72,Middle Village/Ridgewood,Queens
4111,No healthy housing problems,60,Kew Gardens/Woodhaven,Queens
4112,No healthy housing problems,42,Jamaica,Queens
4113,No healthy housing problems,65,Howard Beach/S.Ozone Park,Queens
4114,No healthy housing problems,35,Rockaways,Queens
3701,3+ healthy housing problems,21,Riverdale/Kingsbridge,Bronx
3702,3+ healthy housing problems,19,Williamsbridge/Baychester,Bronx
3703,3+ healthy housing problems,7,Throgs Neck/Co-op City,Bronx
3704,3+ healthy housing problems,19,Pelham Parkway,Bronx
3705,3+ healthy housing problems,21,Morrisania/East Tremont,Bronx
3706,3+ healthy housing problems,29,Kings.Heights/Mosholu,Bronx
3707,3+ healthy housing problems,34,Univ.Heights/Fordham,Bronx
3708,3+ healthy housing problems,26,Highbridge/S.Concourse,Bronx
3709,3+ healthy housing problems,15,Soundview/Parkchester,Bronx
3710,3+ healthy housing problems,24,Mott Haven/Hunts Point,Bronx
3801,3+ healthy housing problems,15,Washington Heights/Inwood,Manhattan
3802,3+ healthy housing problems,23,Morning.Heights/Hamilton Heights,Manhattan
3803,3+ healthy housing problems,16,Central Harlem,Manhattan
3804,3+ healthy housing problems,18,East Harlem,Manhattan
3805,3+ healthy housing problems,6,Upper East Side,Manhattan
3806,3+ healthy housing problems,9,Upper West Side,Manhattan
3807,3+ healthy housing problems,5,Chealsea/Clinton/Midtown,Manhattan
3808,3+ healthy housing problems,3,Stuy.Town/Turtle Bay,Manhattan
3809,3+ healthy housing problems,18,L.East Side/Chinatown,Manhattan
3810,3+ healthy housing problems,8,Green.Village/Fin.District,Manhattan
3901,3+ healthy housing problems,2,South Shore,Staten Island
3902,3+ healthy housing problems,1,Mid Island,Staten Island
3903,3+ healthy housing problems,7,North Shore,Staten Island
4001,3+ healthy housing problems,9,Williamsburg/Greenpoint,Brooklyn
4002,3+ healthy housing problems,15,Bushwick,Brooklyn
4003,3+ healthy housing problems,23,Bedford Stuyvesant,Brooklyn
4004,3+ healthy housing problems,8,Brooklyn Heights/Fort Greene,Brooklyn
4005,3+ healthy housing problems,6,Park Slope/Carroll Gardens,Brooklyn
4006,3+ healthy housing problems,27,N.Crown Heights/Pros.Heights,Brooklyn
4007,3+ healthy housing problems,30,Brownsville/Ocean Hill,Brooklyn
4008,3+ healthy housing problems,18,East New York/Starret City,Brooklyn
4009,3+ healthy housing problems,10,Flatlands/Canarsie,Brooklyn
4010,3+ healthy housing problems,16,East Flatbush,Brooklyn
4011,3+ healthy housing problems,20,South Crown Heights,Brooklyn
4012,3+ healthy housing problems,6,Sunset Park,Brooklyn
4013,3+ healthy housing problems,5,Bay Ridge,Brooklyn
4014,3+ healthy housing problems,7,Borough Park,Brooklyn
4015,3+ healthy housing problems,10,Flatbush,Brooklyn
4016,3+ healthy housing problems,4,Sheepshead Bay/Gravesend,Brooklyn
4017,3+ healthy housing problems,5,Bensonhurst,Brooklyn
4018,3+ healthy housing problems,6,Coney Island,Brooklyn
4101,3+ healthy housing problems,10,Astoria,Queens
4102,3+ healthy housing problems,7,Jackson Heights,Queens
4103,3+ healthy housing problems,4,Flushing/Whitestone,Queens
4104,3+ healthy housing problems,2,Bayside/Little Neck,Queens
4105,3+ healthy housing problems,4,Bellerose/Rosedale,Queens
4106,3+ healthy housing problems,3,Hillcrest/Fresh Meadows,Queens
4107,3+ healthy housing problems,11,Elmhurst/Corona,Queens
4108,3+ healthy housing problems,4,Forest Hills/Rego Park,Queens
4109,3+ healthy housing problems,9,Sunnyside/Woodside,Queens
4110,3+ healthy housing problems,2,Middle Village/Ridgewood,Queens
4111,3+ healthy housing problems,3,Kew Gardens/Woodhaven,Queens
4112,3+ healthy housing problems,10,Jamaica,Queens
4113,3+ healthy housing problems,1,Howard Beach/S.Ozone Park,Queens
4114,3+ healthy housing problems,10,Rockaways,Queens
