GEOCODE,VARIABLE,VALUE,NAME,BORO
4016,Supplemental heat,6,Sheepshead Bay/Gravesend,Brooklyn
4017,Supplemental heat,12,Bensonhurst,Brooklyn
4018,Supplemental heat,13,Coney Island,Brooklyn
4101,Supplemental heat,15,Astoria,Queens
4102,Supplemental heat,14,Jackson Heights,Queens
4103,Supplemental heat,9,Flushing/Whitestone,Queens
4104,Supplemental heat,6,Bayside/Little Neck,Queens
4105,Supplemental heat,13,Bellerose/Rosedale,Queens
4106,Supplemental heat,6,Hillcrest/Fresh Meadows,Queens
4107,Supplemental heat,14,Elmhurst/Corona,Queens
4108,Supplemental heat,8,Forest Hills/Rego Park,Queens
4109,Supplemental heat,9,Sunnyside/Woodside,Queens
4110,Supplemental heat,8,Middle Village/Ridgewood,Queens
4111,Supplemental heat,6,Kew Gardens/Woodhaven,Queens
4112,Supplemental heat,11,Jamaica,Queens
4113,Supplemental heat,8,Howard Beach/S.Ozone Park,Queens
4114,Supplemental heat,17,Rockaways,Queens
3701,Mice or rats,23,Riverdale/Kingsbridge,Bronx
3702,Mice or rats,38,Williamsbridge/Baychester,Bronx
3703,Mice or rats,10,Throgs Neck/Co-op City,Bronx
3704,Mice or rats,21,Pelham Parkway,Bronx
3705,Mice or rats,40,Morrisania/East Tremont,Bronx
3706,Mice or rats,33,Kings.Heights/Mosholu,Bronx
3707,Mice or rats,46,Univ.Heights/Fordham,Bronx
3708,Mice or rats,43,Highbridge/S.Concourse,Bronx
3709,Mice or rats,27,Soundview/Parkchester,Bronx
3710,Mice or rats,39,Mott Haven/Hunts Point,Bronx
3801,Mice or rats,30,Washington Heights/Inwood,Manhattan
3802,Mice or rats,29,Morning.Heights/Hamilton Heights,Manhattan
3803,Mice or rats,18,Central Harlem,Manhattan
3804,Mice or rats,18,East Harlem,Manhattan
3805,Mice or rats,7,Upper East Side,Manhattan
3806,Mice or rats,14,Upper West Side,Manhattan
3807,Mice or rats,11,Chealsea/Clinton/Midtown,Manhattan
