CD,CD Name,Wage,Scenario,Variable,Value
101,Financial District,a20,scen1,poverty,15.16797
102,Greenwich Village and Soho,a20,scen1,poverty,15.16797
103,Lower East Side and Chinatown,a20,scen1,poverty,40.44347
104,Clinton and Chelsea,a20,scen1,poverty,17.5968
105,Midtown,a20,scen1,poverty,14.74092
106,Stuyvesant Town and Turtle Bay,a20,scen1,poverty,14.74092
107,Upper West Side,a20,scen1,poverty,18.27027
108,Upper East Side,a20,scen1,poverty,7.6701
109,Morningside Heights and Hamilton Heights,a20,scen1,poverty,47.75693
110,Central Harlem,a20,scen1,poverty,37.81938
111,East Harlem,a20,scen1,poverty,53.88589
112,Washington Heights and Inwood,a20,scen1,poverty,31.02864
201,Mott Haven and Melrose,a20,scen1,poverty,55.32268
202,Hunts Point and Longwood,a20,scen1,poverty,55.32268
203,Morrisania and Crotona,a20,scen1,poverty,62.54561
204,Highbridge and Concourse,a20,scen1,poverty,51.60893
205,Fordham and University Heights,a20,scen1,poverty,56.44185
206,Belmont and East Tremont,a20,scen1,poverty,62.54561
207,Kingsbridge Heights and Bedford,a20,scen1,poverty,50.46542
208,Riverdale and Fieldston,a20,scen1,poverty,30.28773
209,Parkchester and Soundview,a20,scen1,poverty,55.32271
210,Throgs Neck and Co-op City,a20,scen1,poverty,28.13322
211,Morris Park and Bronxdale,a20,scen1,poverty,34.09114
212,Williamsbridge and Baychester,a20,scen1,poverty,35.38598
301,Greenpoint and Williamsburg,a20,scen1,poverty,28.25585
302,Fort Greene and Brooklyn Heights,a20,scen1,poverty,19.81512
303,Bedford Stuyvesant,a20,scen1,poverty,35.66131
304,Bushwick,a20,scen1,poverty,27.51382
305,East New York and Starrett City,a20,scen1,poverty,40.55722
306,Park Slope and Carroll Gardens,a20,scen1,poverty,15.18009
307,Sunset Park,a20,scen1,poverty,30.94145
308,Crown Heights and Prospect Heights,a20,scen1,poverty,28.07815
309,South Crown Heights and Lefferts Gardens,a20,scen1,poverty,29.64882
310,Bay Ridge and Dyker Heights,a20,scen1,poverty,26.38466
311,Bensonhurst,a20,scen1,poverty,37.38443
312,Borough Park,a20,scen1,poverty,49.97342
313,Coney Island,a20,scen1,poverty,35.488
314,Flatbush and Midwood,a20,scen1,poverty,26.51179
315,Sheepshead Bay,a20,scen1,poverty,32.66007
316,Brownsville,a20,scen1,poverty,53.63717
317,East Flatbush,a20,scen1,poverty,32.91052
318,Flatlands and Canarsie,a20,scen1,poverty,21.44889
401,Long Island City and Astoria,a20,scen1,poverty,25.38999
402,Woodside and Sunnyside,a20,scen1,poverty,21.47577
403,Jackson Heights,a20,scen1,poverty,36.49888
404,Elmhurst and Corona,a20,scen1,poverty,33.28772
405,Ridgewood and Maspeth,a20,scen1,poverty,22.17034
406,Rego Park and Forest Hills,a20,scen1,poverty,19.26387
407,Flushing and Whitestone,a20,scen1,poverty,36.10151
408,Hillcrest and Fresh Meadows,a20,scen1,poverty,34.425
409,Kew Gardens and Woodhaven,a20,scen1,poverty,22.53714
410,South Ozone Park and Howard Beach,a20,scen1,poverty,30.25781
411,Bayside and Little Neck,a20,scen1,poverty,17.76498
412,Jamaica and Hollis,a20,scen1,poverty,27.58466
413,Queens Village,a20,scen1,poverty,16.89251
414,Rockaway and Broad Channel,a20,scen1,poverty,38.64385
501,St. George and Stapleton,a20,scen1,poverty,37.23934
502,South Beach and Willowbrook,a20,scen1,poverty,18.28579
503,Tottenville and Great Kills,a20,scen1,poverty,16.99965
101,Financial District,a20,scen1,prematuremort,103.0214
102,Greenwich Village and Soho,a20,scen1,prematuremort,103.0214
103,Lower East Side and Chinatown,a20,scen1,prematuremort,200.3904
104,Clinton and Chelsea,a20,scen1,prematuremort,84.95309
105,Midtown,a20,scen1,prematuremort,69.67461
106,Stuyvesant Town and Turtle Bay,a20,scen1,prematuremort,69.67461
107,Upper West Side,a20,scen1,prematuremort,142.5762
108,Upper East Side,a20,scen1,prematuremort,98.05856
109,Morningside Heights and Hamilton Heights,a20,scen1,prematuremort,244.2478
110,Central Harlem,a20,scen1,prematuremort,311.574
111,East Harlem,a20,scen1,prematuremort,342.9771
112,Washington Heights and Inwood,a20,scen1,prematuremort,208.0673
201,Mott Haven and Melrose,a20,scen1,prematuremort,330.8354
202,Hunts Point and Longwood,a20,scen1,prematuremort,330.8354
203,Morrisania and Crotona,a20,scen1,prematuremort,386.524
204,Highbridge and Concourse,a20,scen1,prematuremort,334.8625
205,Fordham and University Heights,a20,scen1,prematuremort,397.4576
206,Belmont and East Tremont,a20,scen1,prematuremort,386.524
207,Kingsbridge Heights and Bedford,a20,scen1,prematuremort,288.9143
208,Riverdale and Fieldston,a20,scen1,prematuremort,220.635
209,Parkchester and Soundview,a20,scen1,prematuremort,337.5115
210,Throgs Neck and Co-op City,a20,scen1,prematuremort,238.3234
211,Morris Park and Bronxdale,a20,scen1,prematuremort,242.0142
212,Williamsbridge and Baychester,a20,scen1,prematuremort,309.5321
301,Greenpoint and Williamsburg,a20,scen1,prematuremort,147.9316
302,Fort Greene and Brooklyn Heights,a20,scen1,prematuremort,133.7412
303,Bedford Stuyvesant,a20,scen1,prematuremort,274.9337
304,Bushwick,a20,scen1,prematuremort,173.8575
305,East New York and Starrett City,a20,scen1,prematuremort,340.3011
306,Park Slope and Carroll Gardens,a20,scen1,prematuremort,120.5779
307,Sunset Park,a20,scen1,prematuremort,156.3371
308,Crown Heights and Prospect Heights,a20,scen1,prematuremort,248.5306
309,South Crown Heights and Lefferts Gardens,a20,scen1,prematuremort,251.6643
