Brand Name,Item Name,Calories needed for 50g added sugar,NFL: Calories,NFL: Added Sugars
Dr. Pepper,Strawberries & Cream Soda,192,150,39
Dr. Pepper,Blackberry Soda,192,150,39
Dr. Pepper,Soda,192,150,39
Fanta,Chucky's Punch,186,260,70
Fanta,Strawberry Flavored Soda,182,160,44
Fanta,Grape Flavored Soda,193,170,44
Fanta,Caffeine Free Grape Flavored Soda,192,280,73
Fanta,Orange Soda,182,160,44
Faygo,Strawberry Redpop!,194,140,36
Faygo,Firework Soda,209,180,43
Faygo,Grape Soda,195,160,41
Faygo,Grapefruit Lime Sodapop,194,120,31
Faygo,"Rock & Rye, Artificially Flavored Creme Soda",194,140,36
Faygo,Cotton Candy Soda,200,140,35
Faygo,Creme Soda,200,140,35
Fentimans,Ginger Beer,262,110,21
Fentimans,Ginger Beer & Muddled Lime,267,80,15
Fentimans,Rose Lemonade,289,110,19
Fentimans,Cherry Cola,214,90,21
Fentimans,Pink Ginger Beverage,238,100,21
Fever-Tree,Tonic Water,219,70,16
Fever-Tree,Elderflower Tonic Water,224,70,15.6
Fever-Tree,Classic Margarita Mix,214,120,28
Fever-Tree,Distillers Cola,194,70,18
Fever-Tree,Sparkling Pink Grapefruit,206,70,17
Frostie,Root Beer,186,145,39
Frostie,Blue Cream Soda,223,178,40
Frostie,Strawberry Soda,196,110,28
Frostie,Strawberry Lemonade Soda,179,100,28
Frostie,Watermelon Lemonade Soda,190,110,29
Fruta,Guava Pineapple Juice Drink,281,90,16
Fruta,Fruit Punch,250,100,20
Fuze,Lemon Plus Sweet Fruit Flavored Black Tea,182,80,22
Fuze,Lemon Iced Tea,184,70,19
Gatorade,"Thirst Quencher Powder, Lemon-Lime",190,80,21
Gatorade,Lemon Lime Thirst Quencher,190,80,21
Gatorade,Cool Blue Thirst Quencher,190,80,21
Gatorade,Fruit Punch Thirst Quencher,190,80,21
Gatorade,"Perform 02, Frost Glacier Freeze Thirst Quencher",190,80,21
Gatorade,Orange Thirst Quencher,190,80,21
Gatorade,Glacier Freeze Thirst Quencher,190,80,21
Gatorade,Fruit Punch Berry Thirst Quencher,190,80,21
Gatorade,Lime Cucumber Thirst Quencher,190,80,21
Gatorade,Glacier Cherry Thirst Quencher,190,80,21
Glaceau,Energy Tropical Citrus Vitamin Water,196,90,23
Glaceau,Blue Raspberry Limeade Elevate Vitamin Water,205,90,22
Glaceau,"Power-C Vitamin Water, Dragonfruit",185,100,27
Glaceau,Acai Blueberry Pomegranate Vitamin Water,182,80,22
Gold Peak Tea,Sweet Tea Iced Tea,193,170,44
Gold Peak Tea,"Brewed Tea, Green Tea, Real",197,150,38
Gold Peak Tea,"Brewed Tea, Georgia Peach, Real",197,130,33
Gold Peak Tea,"Brewed Tea, Real, Extra Sweet",199,270,68
Harney & Sons,Organic Lemonade with Maple Syrup,200,80,20
