NTACODE,BORO,BoroCode,NTA_NAME,PM_Avg,PM_tertiles,NO2_Avg,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
BK0101,Brooklyn,3,Greenpoint,7.650541269,High,20.28321729,High,High,Medium,High,Low
BK0102,Brooklyn,3,Williamsburg,6.696598571,High,15.29660457,High,High,High,High,High
BK0103,Brooklyn,3,South Williamsburg,6.74037715,High,17.23450788,High,Low,High,High,High
BK0104,Brooklyn,3,East Williamsburg,7.128229548,High,18.02238449,High,High,High,High,High
BK0201,Brooklyn,3,Brooklyn Heights,7.019149939,High,19.81562349,High,High,High,Low,High
BK0202,Brooklyn,3,Downtown Brooklyn-DUMBO-Boerum Hill,7.083803687,High,16.63775035,High,High,High,High,High
BK0203,Brooklyn,3,Fort Greene,7.540011508,High,18.85156444,High,High,High,High,High
BK0204,Brooklyn,3,Clinton Hill,7.361054509,High,19.31747599,High,High,High,High,High
BK0261,Brooklyn,3,Brooklyn Navy Yard,6.877953089,Medium,17.36158006,High,Low,Low,Low,Low
BK0301,Brooklyn,3,Bedford-Stuyvesant (West),7.200749349,High,19.03650762,High,High,High,High,Medium
BK0302,Brooklyn,3,Bedford-Stuyvesant (East),7.037763549,Medium,17.68496773,Medium,High,High,Medium,Medium
BK0401,Brooklyn,3,Bushwick (West),7.555156906,High,18.98496948,High,High,High,High,Medium
BK0402,Brooklyn,3,Bushwick (East),6.841310824,Medium,17.20314266,Medium,High,Medium,High,Medium
BK0471,Brooklyn,3,The Evergreens Cemetery,6.825122471,Medium,17.68080458,Low,Low,Low,Medium,Low
BK0501,Brooklyn,3,Cypress Hills,6.813130551,Medium,16.86858096,Medium,Medium,Medium,High,Medium
BK0502,Brooklyn,3,East New York (North),6.890480343,Medium,18.89662077,Medium,Medium,Medium,High,Medium
BK0503,Brooklyn,3,East New York-New Lots,7.39004725,Medium,21.60160071,High,Medium,Medium,High,Medium
BK0504,Brooklyn,3,Spring Creek-Starrett City,6.294055057,Low,13.18495272,Low,Low,Medium,High,Medium
BK0505,Brooklyn,3,East New York-City Line,6.239679895,Medium,14.604522,Medium,Medium,Medium,Medium,Medium
BK0571,Brooklyn,3,Highland Park-Cypress Hills Cemeteries (South),6.379216813,Low,15.06680588,Low,Low,Medium,Low,Low
BK0601,Brooklyn,3,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,6.703072521,High,14.67637193,High,High,Medium,High,High
BK0602,Brooklyn,3,Park Slope,6.80039618,High,15.6882665,Medium,High,High,Medium,High
BK0701,Brooklyn,3,Windsor Terrace-South Slope,6.668441594,Medium,16.94630419,Medium,Medium,Medium,Medium,High
BK0702,Brooklyn,3,Sunset Park (West),7.764235267,High,24.31620574,High,High,High,High,High
BK0703,Brooklyn,3,Sunset Park (Central),7.593244807,Medium,21.84554027,Medium,High,Medium,High,Low
