Pollutant,Tertile,Source,Value,Time,Season
O3,ALL,ALL,32.20995929,2022,Summer
PM2.5,ALL,ALL,7.297008065,2022,Summer
BC,ALL,ALL,0.729852083,2022,Fall
NO,ALL,ALL,20.08329126,2022,Fall
NO2,ALL,ALL,19.13367867,2022,Fall
PM2.5,ALL,ALL,5.836052179,2022,Fall
PM2.5,Low,Boiler PM2.5 Emissions,5.866663622,2022,ALL
PM2.5,Medium,Boiler PM2.5 Emissions,6.089411037,2022,ALL
PM2.5,High,Boiler PM2.5 Emissions,7.259348614,2022,ALL
PM2.5,Low,Commercial Cooking,5.951924139,2022,ALL
PM2.5,Medium,Commercial Cooking,5.941252595,2022,ALL
PM2.5,High,Commercial Cooking,7.321712962,2022,ALL
PM2.5,Low,Traffic Density,5.929390074,2022,ALL
PM2.5,Medium,Traffic Density,5.916832522,2022,ALL
PM2.5,High,Traffic Density,7.369828554,2022,ALL
NO2,Low,Building Density,15.39829821,2022,ALL
NO2,Medium,Building Density,17.00629394,2022,ALL
NO2,High,Building Density,20.31481457,2022,ALL
NO2,Low,Traffic NOx Emissions,16.29166444,2022,ALL
NO2,Medium,Traffic NOx Emissions,16.28598574,2022,ALL
NO2,High,Traffic NOx Emissions,19.97661444,2022,ALL
O3,Low,Traffic Density,33.43459298,2022,ALL
O3,Medium,Traffic Density,32.45474279,2022,ALL
O3,High,Traffic Density,30.1794629,2022,ALL
NO,Low,Boiler Density,13.23894839,2022,ALL
NO,Medium,Boiler Density,14.34657716,2022,ALL
NO,High,Boiler Density,17.65626672,2022,ALL
NO,Low,Traffic NOx Emissions,12.87882136,2022,ALL
NO,Medium,Traffic NOx Emissions,12.12065296,2022,ALL
NO,High,Traffic NOx Emissions,20.28022638,2022,ALL
BC,Low,Industrial Areas,0.646373949,2022,ALL
BC,Medium,Industrial Areas,0.640762314,2022,ALL
BC,High,Industrial Areas,0.814810712,2022,ALL
BC,Low,Commercial Cooking,0.679778084,2022,ALL
BC,Medium,Commercial Cooking,0.578214762,2022,ALL
BC,High,Commercial Cooking,0.830173543,2022,ALL
BC,Low,Traffic Density,0.596707513,2022,ALL
BC,Medium,Traffic Density,0.630092088,2022,ALL
BC,High,Traffic Density,0.866444954,2022,ALL
BC,ALL,ALL,0.709860625,2022,ALL
